Grant reference,Identifier,Recipient Org:Name,Recipient Org:Identifier,Recipient Org:Charity Number,Recipient Org:Company Number,Recipient Org:Description,Amount Awarded,Currency,Award Date,Award Year,How Paid,Description,Title,Funding Org:Identifier,Funding Org:Name,Beneficiary Location:Name,Beneficiary Location:Geographic Code,Beneficiary Location:Geographic Code Type,Last modified,Data Source
0057,360G-OxfordCC-2016-17-0057,Open Door,GB-CHC-1150626,1150626,,Registered charity,2966,GBP,2016-02-11,2016/17,"2 single payments (œ2,500, & œ466)",Funding was awarded to contribute towards a weekly drop in session for adult refugees and asylum seekers.,Grant to Open Door,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0058,360G-OxfordCC-2016-17-0058,Oxford City of Sanctuary,360G-OxfordCC-Oxford-City-of-Sanctuary,,,Unregistered community group,5000,GBP,2016-02-11,2016/17,"3 single payments (œ3000, œ1,500 & œ500)",Funding was awarded to contribute towards management and admin costs to recruit more members of the public who have an empty room that could be offered free of use to asylum seekers or refugees.,Grant to Oxford City of Sanctuary,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0059,360G-OxfordCC-2016-17-0059,Oxfordshire Play Association,GB-CHC-276706,276706,,Registered charity,2500,GBP,2016-02-11,2016/17,"2 single payments (œ2,000 & œ500)",Funding was awarded to contribute towards a play & activity day for families and children living in Cutteslowe.,Grant to Oxfordshire Play Association,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0060,360G-OxfordCC-2016-17-0060,Restore,GB-CHC-2742222,2742222,,Registered charity,3099,GBP,2016-02-11,2016/17,"2 single payments (œ2,500 & œ599)",Funding was awarded to contribute towards the costs of organising and planning the Elder Stubbs Festival due to take place on 20th August 2016.,Grant to Restore,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0061,360G-OxfordCC-2016-17-0061,Rose Hill Junior Youth Club,GB-CHC-1161836,1161836,,Registered charity,7500,GBP,2016-02-11,2016/17,"3 single payments (œ6,000,1,000 & œ500)",Funding awarded to contribute towards room hire charges at Rose Hill community centre.,Grant to Rose Hill Junior Youth Club,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0062,360G-OxfordCC-2016-17-0062,South Oxford Adventure Playground,GB-CHC-270852,270852,,Registered charity,8000,GBP,2016-02-11,2016/17,"2 single payments (œ6,000, œ1,500 & œ500)",Funding was awarded to contribute towards the general running costs to provide free supervised play during Easter & Summer school holidays.,Grant to South Oxford Adventure Playground,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0063,360G-OxfordCC-2016-17-0063,WEA - Oxford Community Branch,GB-CHC-1112775,1112775,,Registered charity,2485,GBP,2016-02-11,2016/17,"3 single payments (œ1,500, œ500 & œ485)",Funding was awarded to run a community arts project in Wood Farm.,Grant to WEA - Oxford Community Branch,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0064,360G-OxfordCC-2016-17-0064,Wood Farm Youth Club,360G-OxfordCC-Wood-Farm-Youth-Club,,,Unregistered community group,7000,GBP,2016-02-11,2016/17,"3 single payments (œ5,000, œ1,000 & œ1,000)",Funding was awarded to contribute towards providing a Wednesday youth club for young people living on Wood Farm.,Grant to Wood Farm Youth Club,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0065,360G-OxfordCC-2017-18-0065,Ark T Centre,GB-CHC-1079495,1079495,,Registered charity,4470,GBP,2017-02-09,2017/18,"2 single payments (œ3,470 & œ1,000)","Funding was awarded to work with 12 young people from across the city who are living in hostels, temporary accommidation and those leaving care.",Grant to Ark T Centre,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0066,360G-OxfordCC-2017-18-0066,Asylum Welcome,GB-CHC-1092265,1092265,,Registered charity,7500,GBP,2017-02-09,2017/18,2 single payments (œ6500 & œ1.000),Funding was awarded to support refugees and asylum seekers in Oxford,Grant to Asylum Welcome,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
067,360G-OxfordCC-2017-18-0067,Blackbird Leys Community Development Initiative,GB-CHC-137129,1137129,,Registered charity,7000,GBP,2017-02-09,2017/18,"2 single payments (œ6,000 & œ1,000)",Funding was awarded for the Clockhouse Project - running activities for local residents over 50 years old,Grant to Blackbird Leys Community Development Initiative,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0068,360G-OxfordCC-2017-18-0068,Cutteslowe Community Association,GB-CHC-1154860,1154860,,Registered charity,3500,GBP,2017-02-09,2017/18,"2 single payments (œ3,000 & œ500)",Funding awarded to contribute towards the costs of providing a 3 week summer play scheme for local children aged 5-11 years old on Cutteslowe,Grant to Cutteslowe Community Association,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0069,360G-OxfordCC-2017-18-0069,Cutteslowe Seniors Group,360G-OxfordCC-Cutteslowe-Seniors,,,Unregistered community group,500,GBP,2017-02-09,2017/18,2 single payments (œ400 & œ100),Funding awarded to support transport costs for the most vulnerable and access for disadvantaged individuals.,Grant to Cutteslowe Seniors,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0070,360G-OxfordCC-2017-18-0070,Dovecote Voluntary Parent Committee,360G-OxfordCC-Dovecote-Voluntary-Parent  Committee,,,Unregistered community group,10000,GBP,2017-02-09,2017/18,"2 single payments (œ8,000 & œ2,000)",Funding awarded to contribute towards the costs to deliver inclusive after school activities.,Grant to Dovecote Voluntary Parent Committee,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0071,360G-OxfordCC-2017-18-0071,Good Food Oxford,360G-OxfordCC-Good-Food-Oxford,,,Unregistered community group,7200,GBP,2017-02-09,2017/18,"2 single payments (œ6,000 & œ1,200)","Funding was awarded to deliver a year of activities focusing on health, accessible and affordable food for residents of The Leys",Grant to Good Food Oxford,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0072,360G-OxfordCC-2017-18-0072,Home Start Oxford,GB-CHC-1108612,1108612,,Registered charity,7266,GBP,2017-02-09,2017/18,"2 single payments (œ6,000 & œ1,266)",Funding was awarded to recruit 15 volunteers and provide two 8 week training courses for all new recruit,Grant to Home Start Oxford,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0073,360G-OxfordCC-2017-18-0073,In2scienceUK,GB-CHC-1164821,1164821,,Registered charity,4940,GBP,2017-02-09,2017/18,"2 single payments (œ4,000 & œ940)","Funding was awarded to provide young people from low income backgrounds an opportunity to gain a practical insight into the Science, Technology,  Engineering and Maths (STEM) sectors by providing them with  paid work placements in STEM environments and work ready workshops",Grant to In2scienceUK,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0074,360G-OxfordCC-2017-18-0074,Innovista - Thrive Project,GB-CHC-1108679,1108679,,Registered charity,8000,GBP,2017-02-09,2017/18,"2 payments of œ6,000  & œ2,000)",Funding awarded to run a year long intensive mentoring programme targeting 14 'high risk' young people on Barton & Sandhills.,Grant to Innovista - Thrive Project,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0075,360G-OxfordCC-2017-18-0075,Leys News,GB-COH-03591512,,03591512,Social enterprise not for profit limited company,10000,GBP,2017-02-09,2017/18,"2 payments (œ8,000 & œ2,000)","Funding was awarded to support community newsletters across the city with editorial guidance, design, production and help with addressing the sustainability of their newsletters.",Grant to Leys News,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0076,360G-OxfordCC-2017-18-0076,Leys Information Technology Zone,GB-COH-08725446,,08725446,Social enterprise not for profit limited company,5000,GBP,2017-02-09,2017/18,"2 payments (œ4,000 & œ1,000)",Funding was awarded to deliver courses at the  Blackbird Leys IT Hub for  90 people from regeneration areas of the city,Grant to Leys Information Technology Zone,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0077,360G-OxfordCC-2017-18-0077,My Life My Choice,GB-CHC-1073247,1073247,,Registered charity,250,GBP,2017-02-09,2017/18,2 payments (œ200 & œ50),Funding was awarded to contribute towards the transport needs of people with profound and multiple learning disabilities to enable them to attend social group meetings in the City.,Grant to My Life My Choice,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0078,360G-OxfordCC-2017-18-0078,Open Door,GB-CHC-1150626,1150626,,Registered charity,2574,GBP,2017-02-09,2017/18,"2 single payments (œ2,000 & œ574)",Funding was awarded to contribute towards a weekly drop in session for adult refugees and asylum seekers.,Grant to Open Door,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0079,360G-OxfordCC-2017-18-0079,Oxford Against Cutting,GB-CHC-1161597,1161597,,Registered charity,3000,GBP,2017-02-09,2017/18,"2 payments (œ2,500 & œ500)",Funding was awarded to raise awareness of Female Genital Mutilation (FGM),Grant to Oxford Against Cutting,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0080,360G-OxfordCC-2017-18-0080,Oxfordshire Credit Union,GB-COH-IP00723C,,IP00723C,Cooperative & community benefit society,3000,GBP,2017-02-09,2017/18,"2 payments (œ2,500 & œ500)",Funding was awarded to raise awareness of this service and saving opportunities,Grant to Oxfordshire Credit Union,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0081,360G-OxfordCC-2017-18-0081,Oxfordshire Play Association,GB-CHC-276706,276706,,Registered charity,2500,GBP,2017-02-09,2017/18,"2 single payments (œ2,000 & œ500)",Funding was awarded to contribute towards a play and activity day in Blackbird Leys,Grant to Oxfordshire Play Association,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0082,360G-OxfordCC-2017-18-0082,Reducing the Risk of Domestic  Abuse,GB-CHC-1120244,1120244,,Registered charity,1000,GBP,2017-02-09,2017/18,2 payments (œ800 & œ200),Funding was awarded as an emergency fund for people they work with in the City considered as high risk to get to a place of safety.,Grant to Reducing the Risk of Domestic  Abuse,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0083,360G-OxfordCC-2017-18-0083,Restore,GB-CHC-2742222,2742222,,Registered charity,1500,GBP,2017-02-09,2017/18,"2 single payments (œ1,000 & œ500)",Funding was awarded to contribute towards recruiting and training volunteers for the Elder Stubbs Festival due to take place in August 2017.,Grant to Restore,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0084,360G-OxfordCC-2017-18-0084,Street Revolution,GB-COH-07715182,,07715182,Community Interest Company,3900,GBP,2017-02-09,2017/18,internal transfer for rent charges,Funding was awarded to pay rent charges to enable the group to meet,Grant to Street Revolution,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0085,360G-OxfordCC-2017-18-0085,Wood Farm Youth Club,360G-OxfordCC-Wood-Farm-Youth-Club,,,Unregistered community group,7000,GBP,2017-02-09,2017/18,"2 single payments (œ6,000 & œ1,000)",Funding was awarded to contribute towards providing a Wednesday youth club for young people living on Wood Farm.,Grant to Wood Farm Youth Club,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0086,360G-OxfordCC-2017-18-0086,Oxford Sexual Abuse & Rape Crisis Centre,GB-CHC-1131054,1131054,,Registered charity,15000,GBP,2017-02-09,2017/18,"3 single payments (œ7,500, œ3,750 & œ3,750)",Funding was awarded to support a helpline which provides support for women who have experienced sexual violence either in childhood or as adults.,Grant to Oxford Sexual Abuse & Rape Crisis Centre,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0087,360G-OxfordCC-2017-18-0087,A2 Dominion Housing Group,GB-COH-IP28985R,,28985R,Industrial & Provident Society,35082,GBP,2017-02-09,2017/18,"3 single payments (œ17,541, œ8,770.50 & œ8,770.50)",Funding was awarded to provide 1 full time domestic abuse outreach worker.,Grant to A2 Dominion Housing Group,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0088,360G-OxfordCC-2017-18-0088,Oxford Friend,GB-CHC-299903,299903,,Registered charity,3000,GBP,2017-02-09,2017/18,"2 payments (œ2,500 & œ500)","Funding was awarded to contribute towards the running of a confidential telephone helpline, advice, support and counselling to Oxfords gay, lesbian, bisexual community, their families and friends.",Grant to Oxford Friend,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0089,360G-OxfordCC-2017-18-0089,Arts at the Old Fire Station,GB-CHC-1140525,1140525,,Registered charity,32134,GBP,2017-02-09,2017/18,"3 single payments (œ17,541, œ8,770.50 & œ8,770.50)","Funding was awarded to contribute towards the costs for this organisation to support emerging artists and provide a gallery with a wide range of exhibitions, a theatre offering music and drama, a studio for all kinds of dance and workshops for artists.",Grant to Arts at the Old Fire Station,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0090,360G-OxfordCC-2017-18-0090,Fusion Arts,GB-CHC-1070805,1070805,,Registered charity,28128,GBP,2017-02-09,2017/18,"Funding is paid in 3 instalments of œ14,128, œ7,000 & œ7,000","Funding was awarded to deliver cultural / art focused activities to community groups, young people, older people and people with special needs.",Grant to Fusion Arts,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0091,360G-OxfordCC-2017-18-0091,Modern Art Oxford,GB-CHC-313035,313035,,Registered charity,70000,GBP,2017-02-09,2017/18,n/a,"No payments are made directly to Modern Art Oxford but instead an internal transfer is done to cover the cost of rent charges for the premises occupied at 30 Pembroke Street, Oxford",Grant to Modern Art Oxford,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0092,360G-OxfordCC-2017-18-0092,Oxford Contemporary Music,GB-CHC-1062845,1062845,,Registered charity,10000,GBP,2017-02-09,2017/18,"Funding is paid in 3 instalments of œ7,000, œ1,000 & œ2,000",Funding was awarded to work with artists and musicians to promote high quality new music to the public through the delivery of community focused project,Grant to Oxford Contemporary Music,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0093,360G-OxfordCC-2017-18-0093,Film Oxford,GB-CHC-1041014,1041014,,Registered charity,25000,GBP,2017-02-09,2017/18,"œ5,000 is deducted for rent charges due to the council before the balance of œ20,000 is paid in 3 instalments of œ17,000, œ1,000 & œ2,000",Funding was awarded to make film and digital media more accessible to young people in disadvantaged areas of the city delivering training to increase opportunities for individuals into this industry,Grant to Film Oxford,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0094,360G-OxfordCC-2017-18-0094,Experience Oxfordshire,GB-CHC-1107094,1107094,,Registered charity,2000,GBP,2017-02-09,2017/18,"Funding is paid in 3 instalments of œ1500, œ250 & œ250",A cultural development agency creating new opportunities for arts and heritage organisations Funding awarded to bring a  sponsorship into the city,Grant to Experience Oxfordshire,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0095,360G-OxfordCC-2017-18-0095,Oxford Playhouse,GB-CHC-900039,900039,,Registered charity,24000,GBP,2017-02-09,2017/18,"Funding is paid in 3 instalments of œ21,500, œ1,000 & œ1,500","Funding awarded to raise public awareness and appreciation of the arts through theatre, dance and music.",Grant to Oxford Playhouse,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0096,360G-OxfordCC-2017-18-0096,Oxford International Links,360G-OxfordCC-Oxford-International-Links,,,Unregistered community group,6000,GBP,2017-02-09,2017/18,"Funding is paid in 2 instalments of œ5,250 & œ750",Funding awarded to support the delivery of twinning events during the year,Grant to Oxford International Links,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0097,360G-OxfordCC-2017-18-0097,Pegasus Theatre,GB-CHC-1055305,1055305,,Registered charity,25000,GBP,2017-02-09,2017/18,"Funding is paid in 3 instalments of œ22,000, œ1,000 & œ2,000",Funding awarded to promote the appreciation of the arts in particular for the benefit of children and young people,Grant to Pegasus Theatre,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0098,360G-OxfordCC-2017-18-0098,Oxford Visual Arts Development Agency,GB-COH-05138370,,05138370,Not for profit company limited by guarantee,5000,GBP,2017-02-09,2017/18,"Funding is paid in 3 instalments of œ4,000, œ500 & œ500","Funding was awarded to provide opportunities for artists to create new work, support the transfer of skills, knowledge and experience",Grant to Oxford Visual Arts Development Agency,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0099,360G-OxfordCC-2017-18-0099,Artk T Centre,GB-CHC-1079495,1079495,,Registered charity,5000,GBP,2017-02-09,2017/19,"Funding is paid in 3 instalments of œ4,000, œ500 & œ500","Funding was awarded to support their year-round programme of skills development, particularly for volunteers and an annual commission as part of the Light Festival to continue to develop engagement with these communities",Grant to Ark T Centre,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0100,360G-OxfordCC-2017-18-0100,Oxford Philharmonic,GB-CHC-1084256,1084256,,Registered charity,3000,GBP,2017-02-09,2017/18,"Funding is paid in 3 instalments of œ1500, œ500 & œ500","Funding was awarded to enable the organisation to increase the number of free family concerts delivered from 2 to 3 each year, to continue to offer discounted tickets for young people for concerts",Grant to Oxford Philharmonic,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0101,360G -OxfordCC-2017-18-0101,Blackbird Leys Neighbourhood Suppport Service,GB-CHC-1050456,1050456,,Registered charity,85290,GBP,2017-02-09,2017/18,"œ7,250 is deducted for rent charges due to the council before the balance of œ78,040 is paid in 4 quarterly payments of  œ19,510","Also known as the Agnes Smith advice centre. Their area of delivery is Blackbird Leys and the surrounding area. Funding awarded to contribute towards their core costs to deliver free independent, impartial and confidential advice.",Grant to Blackbird Leys Neighbourhood Support Service,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0102,360G-OxfordCC-2017-18-0102,Oxford Community Work Agency,GB-CHC-1785651,1785651,,Registered charity,122611,GBP,2017-02-09,`2017/18,"œ8,100 is deducted for rent charges due to the council before the balance of œ114,511 is paid in 4 quarterly payments of œ28,627.75","Located at Barton in the Neighbourhood Centre, this organisation is an independent community advice and information centre that comprises of Barton Advice Centre and Oxfordshire Welfare Rights. The focus of the organisation is the provision of specialist advice in social welfare law and debt advice. Supporting individuals who live locally in Barton, Headington, Risinghurst and throughout Oxford. Funding awarded to contribute towards their core costs to deliver this",Grant to Oxford Community Work Agency,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0103,360G-OxfordCC-2017-18-0103,Oxford Citizens Advice Bureau,GB-CHC-1063068,1063068,,Registered charity,200000,GBP,2017-02-09,2017/18,"4 quarterly payments of œ50,000","Located in the centre of Oxford, the citizens advice bureau offers self help and assisted information. A free confidential advice service including signposting, generalist and specialist casework for client?s city wide. Funding was awarded to contribute towards their core costs to delivery this service.",Grant to Oxford Citizens Advice Bureau,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0104,360G-OxfordCC-2017-18-0104,Rose Hill & Donnington Advice Centre,GB-CHC-1123488,1123488,,Registered charity,90478,GBP,2017-02-09,2017/18,"œ3,000 is deducted for rent charges due to the council before the balance  of œ87,478 is paid in 4 quarterly payments of œ21,869.50","Located in Rose Hill their area of delivery is Rose Hill, Donnington and the surrounding area. The provide informaiton, advice and assistance on all matters relating to welfare benefits & debt. ",Grant to Rose Hill & Donnington Advice Centre,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0105,360F-OxfordCC-2017-18-0105,Parasol Project,GB-CHC-1055914,1055914,,Registered charity,15000,GBP,2017-02-09,2017/18,œ1540.70 is deducted for business rates before the balance of œ13459.30,"Funding was awarded to provide integrated paly, recreational and social opporutnity for children and young people with learning and or phycical disabilties in Oxford City",Grant to the Parasol Project,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
0105,360G-OxfordCC-2017-18-0106,Oxfordshire Community & Voluntary Action,GB-CHC-1108504,1108504,,Registered charity,43736,GBP,2017-02-09,2017/18,"4 quarterly payments of œ10,934",An umbrella organisation who are funding to provide advice and support to community and voluntary organisations in Oxford City,Grant to Oxfordshire Community & Voluntary Action,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www.oxford.gov.uk/info/20044/grants
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
