,,,,,,,,,,,,,
,,,,,,,,,,,,,
Expenditure over £500,,,,,,,,,,,,,
<<For the period from 01 April 2017 to 30 June 2017>>,,,,,,,,,,,,,
,,,,,,,,,,,,,
Service Area,,Expenditure Catergory,,Expenditure Code,Description,,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name,
Community Services,,Grants,,D3701,GRANT PAYMENT 1ST INST MANDALA THEATRE CO,,20/06/2017,46294128 - 1,"1,250.00",Revenue,20019637,MANDALA THEATRE COMPANY,
Community Services,,Grants,,D3701,1st instalment of grant to Oxford Friend,,20/06/2017,46294156 - 1,"2,500.00",Revenue,20010162,OXFORD FRIEND,
Community Services,,Grants,,D3701,Holiday Activities Grant - payment 2 2017/18,,27/06/2017,46294228 - 1,"2,398.17",Revenue,20009133,BLACKBIRD LEYS ADVENTURE PLAYGROUND,
Community Services,,Grants,,D3701,Holiday activities grant 2017/18  payment 2,,27/06/2017,46294229 - 1,"9,000.00",Revenue,20009847,DOVECOTE VOLUNTARY PARENT COMMITTEE,
Community Services,,Grants,,D3701,Culture fund payment - round 1 2017/18,,27/06/2017,46294233 - 1,500,Revenue,20000019,GRANT PAYMENTS,
Community Services,,Grants,,D3701,First Instalment payment of 2017/18 £20k grant for Alice's Day,,27/06/2017,46294235 - 1,"15,000.00",Revenue,20013119,THE STORY MUSEUM,
Community Services,,Grants,,D3701,1st instalment payment of 2017/18 £30k grant for Carnival,,27/06/2017,46294236 - 1,"20,000.00",Revenue,20015863,COWLEY ROAD WORKS (EAST OXFORD ACTION CHARITY),
Community Services,,Grants,,D3701,1st payment of grant for Elder Stubbs Festival,,27/06/2017,46294238 - 1,"1,000.00",Revenue,20007299,RESTORE LTD,
Community Services,,Grants,,D3701,1s payment of grant to Oxforde Philharmonic,,27/06/2017,46294239 - 1,"2,500.00",Revenue,20015250,OXFORD PHILHARMONIC ORCHESTRA TRUST,
Community Services,,Grants,,D3701,1st payment of grant to OSARCC,,27/06/2017,46294240 - 1,"11,250.00",Revenue,20010187,OSARCC,
Community Services,,Grants,,D3701,1st payment of grant to AOFS,,27/06/2017,46294241 - 1,"28,134.00",Revenue,20016440,ARTS AT THE OLD FIRE STATION,
Community Services,,Gas,,B1502,Barton Leisure Centre Acc: 3004980792  Gas 01/10/16 - 28/02/17,,11/04/2017,47019083 - 1,"10,434.65",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Oxford Ice Rink Acc: 3004980760  Gas 01/10/16 - 28/02/17,,11/04/2017,47019085 - 1,"7,076.05",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Ferry Leisure Centre Acc: 3004980671  Gas 01/10/16 - 28/02/17,,11/04/2017,47019088 - 1,"18,656.11",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Hinksey Outdoor Pool & Splash Feature Acc: 3004980770  Gas 01/10/16 - 28/03/17,,11/04/2017,47019103 - 0,"5,329.97",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Leys Pools & Leisure Centre Acc: 3004980825  Gas 01/10/16 - 28/02/17,,11/04/2017,47019105 - 0,"16,095.57",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Leys Pools & Leisure Centre Acc: 3004980682  Gas 01/10/16 - 28/02/17,,11/04/2017,47019111 - 0,"6,839.12",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Leys Pools & Leisure Centre Acc: 3004980825  Gas 01/03/17 - 31/03/17,,25/04/2017,47019217 - 0,"3,695.06",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Barton Leisure Centre Acc: 3004980792  Gas 01/03/17 - 31/03/17,,25/04/2017,47019220 - 1,"2,199.37",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Hinksey Outdoor Pool & Splash Feature Acc: 3004980770  Gas 01/10/16 - 31/03/17,,25/04/2017,47019222 - 1,"5,699.21",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Leys Pools & Leisure Centre Acc: 3004980682  Gas 01/03/17 - 31/03/17,,25/04/2017,47019228 - 1,"1,965.99",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Oxford Ice Rink Acc: 3004980760  Gas 01/03/17 - 31/03/17,,25/04/2017,47019235 - 0,"1,297.73",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Ferry Leisure Centre Acc: 3004980671  Gas 01/03/17 - 31/03/17,,25/04/2017,47019237 - 0,"3,918.35",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,East Oxford Community Centre Acc: 891677821  Gas 25/11/16 - 01/03/17,,25/04/2017,47019255 - 0,"1,611.45",Revenue,20002402,SOUTHERN ELECTRIC PLC,
Community Services,,Electricity,,B1501,Oxford Ice Rink Acc: KS86222H  Electricity 01/03/17 - 31/03/17,,25/04/2017,47019274 - 1,"11,122.07",Revenue,20011411,NPOWER,
Community Services,,Gas,,B1502,Ferry Leisure Centre Acc: 3005051731  Gas 28/02/17 - 31/03/17,,09/05/2017,47019659 - 0,453.22,Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Ferry Leisure Centre Acc: 3005051731  Gas 31/01/17 - 28/02/17,,09/05/2017,47019661 - 0,457.01,Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Ferry Leisure Centre Acc: 3005051731  Gas 31/12/16 - 31/01/17,,09/05/2017,47019665 - 0,663.78,Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Ferry Leisure Centre Acc: 3005051731  Gas 30/11/16 - 31/12/16,,09/05/2017,47019674 - 1,559.13,Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Ferry Leisure Centre Acc: 3005051731  Gas 31/10/16 - 30/11/16,,09/05/2017,47019676 - 1,472.21,Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Northway Gym Acc: 3004980649  Gas 01/04/17 - 12/04/17,,16/05/2017,47019713 - 0,660.77,Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Electricity,,B1501,Oxford Ice Rink Acc: KS86222H  Electricity 01/04/17 - 30/04/17,,16/05/2017,47019718 - 1,"11,195.66",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Rose Hill Community Centre Acc: KS86222D  Electricity 01/04/17 - 30/04/17,,23/05/2017,47019719 - 0,"1,200.74",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Ferry Leisure Centre Acc: KS862229  Electricity 01/04/17 - 30/04/17,,23/05/2017,47019722 - 1,"4,926.92",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Leys Pools & Leisure Centre Acc: KS862227  Electricity 01/04/17 - 30/04/17,,23/05/2017,47019724 - 1,"5,958.02",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Ferry Leisure Centre Acc: KS862229  Electricity 01/03/17 - 31/03/17,,23/05/2017,47019727 - 0,"5,379.11",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Leys Pools & Leisure Centre Acc: KS862227  Electricity 01/03/17 - 31/03/17,,23/05/2017,47019729 - 0,"6,932.48",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Rose Hill Community Centre Acc: KS86222D  Electricity 01/12/16 - 31/12/16,,23/05/2017,47019734 - 1,"1,605.06",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Rose Hill Community Centre Acc: KS86222D  Electricity 01/10/16 - 31/10/16,,23/05/2017,47019737 - 1,"1,486.06",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Rose Hill Community Centre Acc: KS86222D  Electricity 01/03/17 - 31/03/17,,23/05/2017,47019742 - 0,"1,411.80",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Rose Hill Community Centre Acc: KS86222D  Electricity 01/02/17 - 28/02/17,,23/05/2017,47019743 - 1,"1,426.03",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Rose Hill Community Centre Acc: KS86222D  Electricity 01/01/17 - 31/01/17,,23/05/2017,47019747 - 2,"1,613.76",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Rose Hill Community Centre Acc: KS86222D  Electricity 01/11/16 - 30/11/16,,23/05/2017,47019749 - 1,"1,573.25",Revenue,20011411,NPOWER,
Community Services,,Gas,,B1502,Leys Pools & Leisure Centre Acc: 3004980825  Gas 01/04/17 - 30/04/17,,23/05/2017,47019755 - 1,"3,263.67",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Barton Leisure Centre Acc: 3004980792  Gas 01/04/17 - 30/04/17,,23/05/2017,47019758 - 0,"1,703.82",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Oxford Ice Rink Acc: 3004980760  Gas 01/04/17 - 30/04/17,,23/05/2017,47019759 - 1,"1,266.19",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Hinksey Outdoor Pool & Splash Feature Acc: 3004980770  Gas 01/04/17 - 30/04/17,,23/05/2017,47019772 - 1,"7,985.90",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Leys Pools & Leisure Centre Acc: 3004980682  Gas 01/04/17 - 30/04/17,,23/05/2017,47019775 - 0,"1,691.94",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Ferry Leisure Centre Acc: 3004980671  Gas 01/04/17 - 30/04/17,,23/05/2017,47019776 - 1,"2,972.53",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Blackbird Leys Community Centre Acc: 651679981  Gas 15/01/17 - 13/04/17,,23/05/2017,47019803 - 1,"1,340.22",Revenue,20002402,SOUTHERN ELECTRIC PLC,
Community Services,,Electricity,,B1501,Blackbird Leys Community Centre Acc: 421685839  Electricity 18/01/17 - 13/04/17,,23/05/2017,47019828 - 0,"1,872.99",Revenue,20002402,SOUTHERN ELECTRIC PLC,
Community Services,,Water & Sewerage Charges,,B1830,Blackbird Leys Community Centre Acc: TW7139126405  Water 19/01/17 - 25/04/17,,23/05/2017,47019885 - 1,581.53,Revenue,20019401,CASTLE WATER,
Community Services,,Water & Sewerage Charges,,B1830,Rose Hill Community Centre Acc: TW0164732192  Water 28/01/17 - 11/05/17,,31/05/2017,47020072 - 0,"1,812.30",Revenue,20019401,CASTLE WATER,
Community Services,,Electricity,,B1501,East Oxford Community Centre Acc: 371642951  Electricity 03/03/17 - 31/05/17,,20/06/2017,47020111 - 0,"1,208.32",Revenue,20002402,SOUTHERN ELECTRIC PLC,
Community Services,,Electricity,,B1501,Blackbird Leys Community Centre Acc: 421685839  Electricity 18/01/17 - 13/04/17,,20/06/2017,47020132 - 0,"2,354.32",Revenue,20002402,SOUTHERN ELECTRIC PLC,
Community Services,,Electricity,,B1501,East Oxford Games Hall Acc: 011618909  Electricity 28/02/17 - 31/05/17,,20/06/2017,47020136 - 0,924.21,Revenue,20002402,SOUTHERN ELECTRIC PLC,
Community Services,,Gas,,B1502,East Oxford Games Hall Acc: 801678290  Gas 01/03/17 - 31/05/17,,20/06/2017,47020155 - 0,471.37,Revenue,20002402,SOUTHERN ELECTRIC PLC,
Community Services,,Gas,,B1502,East Oxford Community Centre Acc: 891677821  Gas 02/03/17 - 31/05/17,,20/06/2017,47020156 - 1,752.57,Revenue,20002402,SOUTHERN ELECTRIC PLC,
Community Services,,Gas,,B1502,East Oxford Community Centre Acc: 141677835  Gas 02/03/17 - 31/05/17,,20/06/2017,47020157 - 0,611.3,Revenue,20002402,SOUTHERN ELECTRIC PLC,
Community Services,,Gas,,B1502,Blackbird Leys Community Centre Acc: 651679981  Gas 15/01/17 - 13/04/17,,20/06/2017,47020162 - 0,"1,510.58",Revenue,20002402,SOUTHERN ELECTRIC PLC,
Community Services,,Electricity,,B1501,Oxford Ice Rink Acc: KS86222H  Electricity 01/05/17 - 31/05/17,,20/06/2017,47020169 - 1,"13,028.76",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Rose Hill Community Centre Acc: KS86222D  Electricity 01/05/17 - 31/05/17,,20/06/2017,47020170 - 0,"1,238.46",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Ferry Leisure Centre Acc: KS862229  Electricity 01/05/17 - 31/05/17,,20/06/2017,47020173 - 1,"5,141.91",Revenue,20011411,NPOWER,
Community Services,,Gas,,B1502,Leys Pools & Leisure Centre Acc: 3004980825  Gas 01/05/17 - 31/05/17,,20/06/2017,47020177 - 1,"2,848.79",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Electricity,,B1501,Leys Pools & Leisure Centre Acc: KS862227  Electricity 01/05/17 - 31/05/17,,20/06/2017,47020199 - 0,"6,204.71",Revenue,20011411,NPOWER,
Community Services,,Gas,,B1502,Barton Leisure Centre Acc: 3004980792  Gas 01/05/17 - 31/05/17,,20/06/2017,47020200 - 1,"1,646.71",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Hinksey Outdoor Pool & Splash Feature Acc: 3004980770  Gas 01/05/17 - 31/05/17,,20/06/2017,47020202 - 1,"7,826.51",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Oxford Ice Rink Acc: 3004980760  Gas 01/05/17 - 31/05/17,,20/06/2017,47020203 - 0,"1,149.67",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Leys Pools & Leisure Centre Acc: 3004980682  Gas 01/05/17 - 31/05/17,,20/06/2017,47020205 - 0,792.72,Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Gas,,B1502,Ferry Leisure Centre Acc: 3004980671  Gas 01/05/17 - 31/05/17,,20/06/2017,47020206 - 1,"2,593.21",Revenue,20007602,TOTAL GAS & POWER LTD,
Community Services,,Electricity,,B1501,Jubilee 77 Community Centre Acc: KS86222K  Electricity 01/03/17 - 31/05/17,,20/06/2017,47020210 - 1,"1,360.66",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Hinksey Outdoor Pool & Splash Feature Acc: KS86222X  Electricity 01/05/17 - 31/05/17,,27/06/2017,47020229 - 1,"2,720.58",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Barton Leisure Centre Acc: KS86222W  Electricity 01/05/17 - 31/05/17,,27/06/2017,47020230 - 0,"3,113.29",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Hinksey Outdoor Pool & Splash Feature Acc: KS86222X  Electricity 01/04/17 - 30/04/17,,27/06/2017,47020232 - 0,"2,929.62",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Barton Leisure Centre Acc: KS86222W  Electricity 01/04/17 - 30/04/17,,27/06/2017,47020233 - 1,"2,933.91",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Barton Leisure Centre Acc: KS86222W  Electricity 01/03/17 - 31/03/17,,27/06/2017,47020234 - 0,"3,394.21",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Hinksey Outdoor Pool & Splash Feature Acc: KS86222X  Electricity 01/02/17 - 28/02/17,,27/06/2017,47020236 - 0,902.87,Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Barton Leisure Centre Acc: KS86222W  Electricity 01/02/17 - 28/02/17,,27/06/2017,47020237 - 1,"3,396.77",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Hinksey Outdoor Pool & Splash Feature Acc: KS86222X  Electricity 01/01/17 - 31/01/17,,27/06/2017,47020239 - 1,"1,055.71",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Hinksey Outdoor Pool & Splash Feature Acc: KS86222X  Electricity 01/11/16 - 30/11/16,,27/06/2017,47020240 - 0,743.84,Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Barton Leisure Centre Acc: KS86222W  Electricity 01/11/16 - 30/11/16,,27/06/2017,47020241 - 1,"3,505.93",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Barton Leisure Centre Acc: KS86222W  Electricity 13/10/16 - 31/10/16,,27/06/2017,47020244 - 0,"2,105.73",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Hinksey Outdoor Pool & Splash Feature Acc: KS86222X  Electricity 01/03/17 - 31/03/17,,27/06/2017,47020246 - 0,"1,852.14",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Barton Leisure Centre Acc: KS86222W  Electricity 01/01/17 - 31/01/17,,27/06/2017,47020247 - 1,"3,773.82",Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Hinksey Outdoor Pool & Splash Feature Acc: KS86222X  Electricity 01/12/16 - 31/12/16,,27/06/2017,47020249 - 1,912.55,Revenue,20011411,NPOWER,
Community Services,,Electricity,,B1501,Barton Leisure Centre Acc: KS86222W  Electricity 01/12/16 - 31/12/16,,27/06/2017,47020250 - 0,"3,410.04",Revenue,20011411,NPOWER,
Community Services,,Water & Sewerage Charges,,B1830,Rose Hill Community Centre Acc: TW0164732192  Water 08/11/16 - 26/01/17,,27/06/2017,47020290 - 1,"1,392.29",Revenue,20019401,CASTLE WATER,
Community Services,,Main Contractor,,Y021,END OF TENANCY COMPENSATION ,,16/05/2017,48021822 - 1,"2,110.00",Capital,20000000,GENERAL EXPENSES,
Community Services,,Main Contractor,,Y021,SURRENDER OF LAND PAYMENT,,16/05/2017,48021823 - 1,"2,000.00",Capital,20000000,GENERAL EXPENSES,
Direct Services,,Reactive Maintenance & Minor Repairs,,B1101,"Bottom Pavillion, Cutteslowe Park on 21/09/2016",,04/04/2017,1034546 - 0,"1,582.40",Revenue,20016691,COTSWOLD TURF SUPPLIES,
Direct Services,,Materials,,D3021,AAll as per OCC order & Variation,,04/04/2017,1035605 - 0,"58,613.00",Revenue,20000253,S. J.  MCBRIDE  LTD.  T/A  WAREFENCE,
Direct Services,,Short Courses,,A0622,,,04/04/2017,1035854 - 0,"1,630.00",Revenue,20015755,JLD DRIVER TRAINING LTD,
Direct Services,,Reactive Maintenance & Minor Repairs,,B1101,Cutteslowe Park Play Area,,04/04/2017,1036011 - 0,"1,577.22",Revenue,20013923,SUTCLIFFE PLAY SOUTH WEST,
Direct Services,,General Contracted Services,,D3401,CUTTESLOWE PARK WATER HYGIENE,,04/04/2017,1036072 - 0,"3,797.00",Revenue,20011393,USTIGATE,
Direct Services,,General Contracted Services,,D3401,HINKSEY PARK WATER HIGIENE,,04/04/2017,1036073 - 0,"1,112.00",Revenue,20011393,USTIGATE,
Direct Services,,Short Courses,,A0622,EFAAW TRAINING COURSE,,11/04/2017,1036083 - 0,696.47,Revenue,20007924,SOUTH CENTRAL AMBULANCE SERVICE,
Direct Services,,Services Maintenance (Planned),,B1103,REPAIRS 7021853,,11/04/2017,1036091 - 0,70,Revenue,20000210,BARKER & EVANS LTD,
Direct Services,,Short Courses,,A0622,DRIVER TRAINING,,04/04/2017,1036094 - 0,"3,960.00",Revenue,20015755,JLD DRIVER TRAINING LTD,
Direct Services,,Short Courses,,A0622,DRIVE TRAINING,,04/04/2017,1036095 - 0,"3,960.00",Revenue,20015755,JLD DRIVER TRAINING LTD,
Direct Services,,Short Courses,,A0622,"Q. LEARNING CHILTERN HOUSE, 45 STATION ROAD, HENLEY-ON-THAMES",,04/04/2017,1036111 - 0,927,Revenue,20017304,Q.LEARNING LTD,
Direct Services,,Materials,,D3021,"P.O. Box 2, Ossett, West Yorkshire, WF5 9NA",,19/04/2017,1036147 - 0,"2,528.93",Revenue,20011174,KILLGERM CHEMICALS LIMITED,
Direct Services,,Hardware Purchase,,D3520,"10-14 DARBY CLOSE, PARK FARM IND. ESTATE",,11/04/2017,1036153 - 0,"1,907.96",Revenue,20002302,MISCO,
Direct Services,,Materials,,D3021,"HEAD OFFICE OXFORD GARDEN CENTRE, SOUTH HINKSEY, OXFORD",,19/04/2017,1036173 - 0,576,Revenue,20002467,AWBS LTD,
Direct Services,,Short Courses,,A0622,"DEL EQUIPMENT (UK) LTD, Building 1, Windrush Ind. Park",,19/04/2017,1036177 - 0,554,Revenue,20007563,DEL EQUIPMENT (UK) LTD,
Direct Services,,Waste Disposal & Skip Hire,,D3420,24 x 950 X 1300MM CLEAR PLASTIC FOOD,,04/04/2017,1036185 - 0,"1,824.00",Revenue,20007833,GELPACK EXCELSIOR LTD,
Direct Services,,Waste Disposal & Skip Hire,,D3420,Sales Order SO-084587,,04/04/2017,1036188 - 0,"6,622.00",Revenue,20007833,GELPACK EXCELSIOR LTD,
Direct Services,,Reactive Maintenance & Minor Repairs,,B1101,Sales order 1115732,,19/04/2017,1036207 - 0,"1,234.50",Revenue,20002296,METRIC GROUP LIMITED,
Direct Services,,Protective Clothing,,D3201,Account 150064,,19/04/2017,1036221 - 0,469.41,Revenue,20002919,HONEY BROTHERS LTD,
Direct Services,,Postage & Carriage,,D3501,Account 150064,,19/04/2017,1036221 - 1,7.5,Revenue,20002919,HONEY BROTHERS LTD,
Direct Services,,Equipment Hire Charges,,D3006,FRANKING MACHINE 16.03.2017-15.06.2017,,11/04/2017,1036238 - 1,499,Revenue,20007876,SIEMENS FINANCIAL SERVICES LTD,
Direct Services,,Reactive Maintenance & Minor Repairs,,B1101,"30033, Extra fencing ",,04/04/2017,1036285 - 1,"4,800.00",Revenue,20000253,S. J.  MCBRIDE  LTD.  T/A  WAREFENCE,
Direct Services,,General Contracted Services,,D3401,"L1-L3 Marshall Way, Commerce Park, Somerset",,04/04/2017,1036291 - 0,515,Revenue,20014484,SORBUS INTERNATIONAL LIMITED,
Direct Services,,Postage & Carriage,,D3501,"L1-L3 Marshall Way, Commerce Park, Somerset",,04/04/2017,1036291 - 1,18.95,Revenue,20014484,SORBUS INTERNATIONAL LIMITED,
Direct Services,,Materials,,D3021,"32 DEVERILL ROAD TRADING ESTATE, WILSHIRE",,11/04/2017,1036308 - 0,"2,707.50",Revenue,20009145,SURESET UK LTD,
Direct Services,,Short Courses,,A0622,"D.TEC. INTERNATIONAL LTD. PO BOX 914, PRESTON",,19/04/2017,1036312 - 0,540,Revenue,20018521,D TEC INTERNATIONAL LIMITED,
Direct Services,,Short Courses,,A0622,"Tetra Consulting Ltd, Jessica House. Red Lion Square",,11/04/2017,1036333 - 0,"3,644.00",Revenue,20016229,TETRA CONSULTING LTD,
Direct Services,,Materials,,D3021,Order no. SO174272,,11/04/2017,1036354 - 1,"2,286.01",Revenue,20008377,FLEET (LINE MARKERS) LTD,
Direct Services,,Advertising & Publicity,,D3802,Clean Green Oxford Poster & Flyers,,25/04/2017,1036362 - 0,619,Revenue,20006232,K DESIGN,
Direct Services,,General Contracted Services,,D3401,3 prs of coffin trestles,,11/04/2017,1036370 - 0,"1,340.00",Revenue,20017452,PETER STREET,
Direct Services,,Short Courses,,A0622,"CCN1 & CENWAT, CKR1 & HTR1 ",,11/04/2017,1036383 - 0,"1,610.00",Revenue,20017566,OXFORD ENERGY ACADEMY LTD,
Direct Services,,Services Maintenance (Planned),,B1103,Cutteslowe Greenhouses,,11/04/2017,1036397 - 0,"1,495.32",Revenue,20000210,BARKER & EVANS LTD,
Direct Services,,Consultants Fees,,D3411,INVOICE REGISTER AS PER QUOTE Q201617-229,,25/04/2017,1036432 - 0,"3,885.00",Revenue,20010153,CIVICA UK LTD,
Direct Services,,Main Contractor,,Y021,Seacourt P&R extension - Stage 3,,19/04/2017,1036433 - 0,"25,702.09",Capital,20015438,WYG ENVIRONMENT PLANNING TRANSPORT LTD,
Direct Services,,Short Courses,,A0622,1 x days MH Support visit sched 6/2/2017 - cancelled and rearranged,,25/04/2017,1036475 - 0,725,Revenue,20018263,PRISTINE CONDITION INTERNATIONAL LTD,
Direct Services,,General Contracted Services,,D3401,"Macadam MUGA - Clean, Anti Slip Coating & Line Marking",,11/04/2017,1036476 - 0,"3,980.00",Revenue,20016501,SOFT SURFACES LTD,
Direct Services,,Short Courses,,A0622,"ASH GROUP, AEBI UK LTD, SOUTHGATE WAY, PETERBOROUGH",,25/04/2017,1036486 - 0,"1,653.00",Revenue,20002387,AEBI SCHMIDT UK LTD,
Direct Services,,Materials,,D3021,"UNIT 3, FIELD BARN FARM, BEENHAM HILL, BEENHAM",,25/04/2017,1036496 - 0,"6,092.00",Revenue,20019106,AES LTD,
Direct Services,,General Contracted Services,,D3401,OLD GREYFRIARS STREET,,25/04/2017,1036509 - 0,"4,449.11",Revenue,20002120,OCS GROUP UK LTD T/A CANNON,
Direct Services,,General Contracted Services,,D3401,Greyfriars March 2017,,25/04/2017,1036512 - 0,456.23,Revenue,20002120,OCS GROUP UK LTD T/A CANNON,
Direct Services,,Services Maintenance (Planned),,B1103,INSPECTION & TEST CARRIED OUT AT VARIOUS PROPERTIES AS PER ATT.,,11/04/2017,1036549 - 2,477.75,Revenue,20000249,SSE CONTRACTING LTD,
Direct Services,,Contract Plant Hire,,C2402,DUMPER - 1T HIGH DISCHARGE 3211562,,09/05/2017,1036566 - 0,427.8,Revenue,20015309,GAP GROUP LTD,
Direct Services,,Consultants Fees,,D3411,Management Systems (ISO 9001 & ISO 14001) Annual,,03/05/2017,1036590 - 0,"7,705.13",Revenue,20011419,EXOVA  (UK) LTD,
Direct Services,,Consultants Fees,,D3411,Management Systems (ISO 9001 & ISO 14001) Transition Audit Fee,,03/05/2017,1036591 - 0,800,Revenue,20011419,EXOVA  (UK) LTD,
Direct Services,,Services Maintenance (Planned),,B1103,April 2016 Servicing & Mechanical works,,03/05/2017,1036614 - 0,"1,918.35",Revenue,20000210,BARKER & EVANS LTD,
Direct Services,,Postage & Carriage,,D3501,TIMED WEKLRY COLLECTION FEE,,11/04/2017,1036630 - 1,"1,792.00",Revenue,20003730,ROYAL MAIL,
Direct Services,,Postage & Carriage,,D3501,TELESET POSTAGE,,11/04/2017,1036644 - 1,416.67,Revenue,20008154,FRANCOTYP-POSTALIA TELESET - POSTAGE,
Direct Services,,Postage & Carriage,,D3501,TELESET POSTAGE,,11/04/2017,1036644 - 2,83.33,Revenue,20008154,FRANCOTYP-POSTALIA TELESET - POSTAGE,
Direct Services,,Services Maintenance (Planned),,B1103,PROVISION OF GOODS AND SERVICES FOR CAR PARK TOILET,,25/04/2017,1036646 - 1,"1,922.47",Revenue,20002351,PHS GROUP PLC,
Direct Services,,Fundamental Service Review,,D3314,FUTURE OPERATIONS STRUCTURES FOR ODS,,25/04/2017,1036653 - 0,"39,500.00",Revenue,20018486,GRANT THORNTON UK LLP,
Direct Services,,Services Maintenance (Planned),,B1103,Wolvercote Public Convenience 03/05/17 to 02/08/17,,25/04/2017,1036680 - 1,719.74,Revenue,20002351,PHS GROUP PLC,
Direct Services,,Materials,,D3021,"JOB27387 - PCN ROLLS, Sales Admin: FARRON",,25/04/2017,1036683 - 0,773,Revenue,20013689,LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,
Direct Services,,Materials,,D3021,"Discretion 1x2 WHITE UK, Titan Alpha (White) UK",,03/05/2017,1036690 - 0,471,Revenue,20011174,KILLGERM CHEMICALS LIMITED,
Direct Services,,Reactive Maintenance & Minor Repairs,,B1101,FEE CATEGORY 02 - PAID ANNUAL- FULL SERVICE,,19/04/2017,1036714 - 0,613,Revenue,20018033,BRITISH PEST CONTROL ASSOCIATION,
Direct Services,,Main Contractor,,Y021,PROF. FEES IN RESPECT OF WORK UNDERTAKEN UP TO 27/03/2017,,03/05/2017,1036716 - 0,"9,988.23",Capital,20018047,TURLEY ASSOCIATES,
