Body Name,Organisational Unit,Expenditure Category,Expenditure Code,Narrative,Paid Date,Trans No,Amount,Type,Supplier ID,Supplier Name 
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,07/07/2015,60040623_1,£926.16,Revenue,20000210,Barker & Evans Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,07/07/2015,60040624_0,£885.51,Revenue,20000210,Barker & Evans Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,07/07/2015,60040628_0,£2449.29,Revenue,20000210,Barker & Evans Ltd
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590, ,18/08/2015,60042665_1,£611.36,Revenue,20000210,Barker & Evans Ltd
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590, ,18/08/2015,60042672_0,£629.53,Revenue,20000210,Barker & Evans Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,15/09/2015,60043873_0,£757.00,Revenue,20000210,Barker & Evans Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,15/09/2015,60043876_1,£562.31,Revenue,20000210,Barker & Evans Ltd
Oxford City Council,Environmental Development,Grants-Private Persons,Y005,"Redacted, Personal Data",21/07/2015,1018359_1,£6066.00,Capital,20000215,Chiltern Invadex Ltd
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311   , ,11/08/2015,60042007_1,£1250.00,Revenue,20000215,Chiltern Invadex Ltd
Oxford City Council,Direct Services,Services Maintenance (Planned),B1103,Horspath Pavilion & Trace 010024243105,21/07/2015,46286588_1,£2582.40,Revenue,20000216,Christy Lighting Ltd
Oxford City Council,General Fund,VAT Pro Forma Invoices,Z110205,Horspath Pavilion & Trace 010024243105,21/07/2015,46286588_2,£516.48,Revenue,20000216,Christy Lighting Ltd
Oxford City Council,Direct Services,Services Maintenance (Planned),B1103,Rosehill Sports Ground,08/09/2015,46287059_1,£650.00,Revenue,20000216,Christy Lighting Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111, ,04/08/2015,60041857_0,£3197.55,Revenue,20000219,Darnells Ltd
Oxford City Council,Environmental Development,Grants-Private Persons,Y005,"Redacted, Personal Data",14/07/2015,1017981_1,£3684.00,Capital,20000222,Elliott & Jordan Ltd
Oxford City Council,Environmental Development,Grants-Private Persons,Y005,"Redacted, Personal Data",18/08/2015,1018917_1,£4186.00,Capital,20000222,Elliott & Jordan Ltd
Oxford City Council,Environmental Development,Grants-Private Persons,Y005,"Redacted, Personal Data",08/09/2015,1020025_1,£1358.71,Capital,20000222,Elliott & Jordan Ltd
Oxford City Council,Environmental Development,Grants-Private Persons,Y005,"Redacted, Personal Data",02/09/2015,1020121_1,£12725.00,Capital,20000222,Elliott & Jordan Ltd
Oxford City Council,Environmental Development,Grants-Private Persons,Y005,"Redacted, Personal Data",25/08/2015,1020122_1,£2610.84,Capital,20000222,Elliott & Jordan Ltd
Oxford City Council,Environmental Development,Grants-Private Persons,Y005,"Redacted, Personal Data",15/09/2015,1020284_1,£3725.00,Capital,20000222,Elliott & Jordan Ltd
Oxford City Council,Environmental Development,Grants-Private Persons,Y005,"Redacted, Personal Data",02/09/2015,1020285_1,£3571.57,Capital,20000222,Elliott & Jordan Ltd
Oxford City Council,Planning & Regulatory,General Contracted Services,D3401,"Redacted, Personal Data",08/09/2015,1020453_1,£500.00,Revenue,20000222,Elliott & Jordan Ltd
Oxford City Council,Planning & Regulatory,General Contracted Services,D3401,"Redacted, Personal Data",08/09/2015,1020455_1,£500.00,Revenue,20000222,Elliott & Jordan Ltd
Oxford City Council,HRA,Main Contractor,Y021,,15/09/2015,1020850_1,£2540.00,Capital,20000233,Jones & Reeves
Oxford City Council,HRA,Main Contractor,Y021,Re 712 Cress Hill Place Order No 8009248,15/09/2015,1020851_1,£2540.00,Capital,20000233,Jones & Reeves
Oxford City Council,HRA,Main Contractor,Y021,,15/09/2015,1020852_1,£2540.00,Capital,20000233,Jones & Reeves
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311, ,04/08/2015,60041649_0,£2600.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311, ,04/08/2015,60041666_1,£600.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311, ,04/08/2015,60041667_0,£680.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311, ,04/08/2015,60041668_1,£2700.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311, ,04/08/2015,60041669_0,£540.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311, ,04/08/2015,60041672_1,£550.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311, ,04/08/2015,60041673_0,£640.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311, ,04/08/2015,60041674_1,£2600.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311, ,04/08/2015,60041675_0,£1350.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311, ,04/08/2015,60041676_1,£2600.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311, ,04/08/2015,60041677_0,£600.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111, ,04/08/2015,60041865_0,£741.33,Revenue,20000233,Jones & Reeves
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590, ,18/08/2015,60042713_1,£3600.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590, ,18/08/2015,60042714_0,£3600.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590, ,18/08/2015,60042715_1,£600.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590, ,18/08/2015,60042721_1,£550.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590, ,18/08/2015,60042723_1,£580.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590, ,18/08/2015,60042724_0,£980.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590, ,18/08/2015,60042725_1,£3600.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590, ,18/08/2015,60042726_0,£3600.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590, ,18/08/2015,60042727_1,£3500.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590, ,18/08/2015,60042728_0,£3400.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590, ,18/08/2015,60042729_1,£3600.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590, ,18/08/2015,60042730_0,£3600.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590, ,18/08/2015,60042731_1,£3900.00,Revenue,20000233,Jones & Reeves
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590, ,18/08/2015,60042732_0,£1808.85,Revenue,20000233,Jones & Reeves
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590, ,18/08/2015,60042733_1,£786.12,Revenue,20000233,Jones & Reeves
Oxford City Council,HRA,Main Contractor,Y021,Occ Ahp Oxford Bradlands Care Home,28/07/2015,1019055_1,£492321.05,Capital,20000236,J B Leadbitter & Co Ltd
Oxford City Council,HRA,Main Contractor,Y021,Works Completed At End,11/08/2015,1019365_1,£921478.84,Capital,20000236,J B Leadbitter & Co Ltd
Oxford City Council,Housing and Property,Services Maintenance (Planned),B1103,Town Hall - Air Handling 200001115542,22/09/2015,46287180_1,£993.55,Revenue,20000244,Oxford Refrigeration Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,07/07/2015,60040621_1,£7811.00,Revenue,20000244,Oxford Refrigeration Ltd
Oxford City Council,Direct Services,Reactive Maintenance & Minor Repairs,B1101, ,18/08/2015,60042342_0,£4995.00,Revenue,20000244,Oxford Refrigeration Ltd
Oxford City Council,Direct Services,Reactive Maintenance & Minor Repairs,B1101, ,18/08/2015,60042605_1,£543.00,Revenue,20000244,Oxford Refrigeration Ltd
Oxford City Council,Direct Services,Reactive Maintenance & Minor Repairs,B1101, ,25/08/2015,60042763_1,£1335.00,Revenue,20000244,Oxford Refrigeration Ltd
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590 , ,02/09/2015,60043561_0,£1025.00,Revenue,20000244,Oxford Refrigeration Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,15/09/2015,60043925_0,£3534.00,Revenue,20000244,Oxford Refrigeration Ltd
Oxford City Council,Direct Services,Reactive Maintenance & Minor Repairs,B1101,Replace Damaged Column,11/08/2015,1019262_1,£2812.03,Revenue,20000249,Sse Contracting Ltd
Oxford City Council,Housing and Property,Reactive Maintenance & Minor Repairs,B1101,Electrical Inspection 968192/000,22/09/2015,46287201_1,£567.50,Revenue,20000249,Sse Contracting Ltd
Oxford City Council,Direct Services,Services Maintenance (Planned),B1103,Electrical Inspection 968192/000,22/09/2015,46287201_2,£1677.17,Revenue,20000249,Sse Contracting Ltd
Oxford City Council,Housing and Property,Services Maintenance (Planned),B1103,Electrical Inspection 968192/000,22/09/2015,46287201_3,£1245.94,Revenue,20000249,Sse Contracting Ltd
Oxford City Council,Direct Services,Health & Safety,B1309,Electrical Inspection 968192/000,22/09/2015,46287201_4,£109.00,Revenue,20000249,Sse Contracting Ltd
Oxford City Council,Housing and Property,Services Maintenance (Planned),B1103,Electrical Inspection 968192/000,22/09/2015,46287201_5,£385.19,Revenue,20000249,Sse Contracting Ltd
Oxford City Council,Housing and Property,Services Maintenance (Planned),B1103,Electrical Inspection 968192/000,22/09/2015,46287201_6,£141.20,Revenue,20000249,Sse Contracting Ltd
Oxford City Council,Housing and Property,Services Maintenance (Planned),B1103,Electrical Inspection 968192/000,22/09/2015,46287201_7,£120.78,Revenue,20000249,Sse Contracting Ltd
Oxford City Council,Housing and Property,Reactive Maintenance & Minor Repairs,B1101,Electrical Inspection 968192/000,22/09/2015,46287201_8,£146.27,Revenue,20000249,Sse Contracting Ltd
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590 , ,11/08/2015,60042238_0,£1808.85,Revenue,20000258,L A Wood (oxon) Ltd
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590, ,25/08/2015,60043190_0,£749.74,Revenue,20000258,L A Wood (oxon) Ltd
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590, ,25/08/2015,60043193_1,£889.88,Revenue,20000258,L A Wood (oxon) Ltd
Oxford City Council,Holding Accounts & Other Funds,C.I.T.Awaiting Payment,Z970590, ,25/08/2015,60043194_0,£1546.29,Revenue,20000258,L A Wood (oxon) Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,08/09/2015,60043633_0,£1107.02,Revenue,20000258,L A Wood (oxon) Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,08/09/2015,60043635_0,£625.66,Revenue,20000258,L A Wood (oxon) Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,08/09/2015,60043637_0,£1054.80,Revenue,20000258,L A Wood (oxon) Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,08/09/2015,60043649_0,£910.14,Revenue,20000258,L A Wood (oxon) Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,15/09/2015,60043897_0,£913.73,Revenue,20000258,L A Wood (oxon) Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,15/09/2015,60043904_1,£1108.14,Revenue,20000258,L A Wood (oxon) Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,15/09/2015,60043906_1,£786.12,Revenue,20000258,L A Wood (oxon) Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,15/09/2015,60043961_0,£906.62,Revenue,20000258,L A Wood (oxon) Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111, ,29/09/2015,60044329_0,£564.15,Revenue,20000258,L A Wood (oxon) Ltd
Oxford City Council,Suspense,Other Miscellaneous Expenses,D3811,Labour Drivers Hours,07/07/2015,1018116_1,£4170.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Waste Disposal & Skip Hire,D3420,Non Special Clinical Waste Dog Waste Weight Surcharge,21/07/2015,1018507_1,£869.75,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Waste Disposal & Skip Hire,D3420,10 Yard Covered Light Waste,18/08/2015,1019899_1,£893.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Waste Disposal & Skip Hire,D3420,10 Yard Covered Light Waste,15/09/2015,1020706_1,£855.80,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Materials,D3021   , ,14/07/2015,60040803_0,£889.85,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Tipping Charges,D3421   , ,14/07/2015,60040837_0,£730.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Tipping Charges,D3421   , ,14/07/2015,60040839_0,£652.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,HRA,Asbestos Work,B1106   , ,14/07/2015,60040840_1,£1105.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Tipping Charges,D3421   , ,14/07/2015,60040842_1,£674.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Materials,D3021   , ,14/07/2015,60040844_1,£720.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Tipping Charges,D3421   , ,14/07/2015,60040845_0,£540.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Materials,D3021   , ,21/07/2015,60041163_1,£1180.48,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Materials,D3021   , ,28/07/2015,60041325_0,£577.84,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,HRA,Asbestos Work,B1106, ,04/08/2015,60041802_1,£1168.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Tipping Charges,D3421, ,04/08/2015,60041803_0,£696.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Tipping Charges,D3421, ,04/08/2015,60041808_1,£500.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Tipping Charges,D3421, ,04/08/2015,60041811_0,£622.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Tipping Charges,D3421, ,04/08/2015,60041814_1,£634.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,General Contracted Services,D3401   , ,11/08/2015,60042193_1,£2543.07,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,General Contracted Services,D3401   , ,11/08/2015,60042194_0,£1170.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,General Contracted Services,D3401   , ,11/08/2015,60042195_1,£1881.05,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Materials,D3021, ,18/08/2015,60042423_1,£667.10,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Materials,D3021, ,18/08/2015,60042424_0,£674.45,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,General Contracted Services,D3401, ,18/08/2015,60042426_0,£1848.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,General Contracted Services,D3401, ,18/08/2015,60042427_1,£660.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,General Contracted Services,D3401, ,18/08/2015,60042549_1,£2549.16,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,General Contracted Services,D3401, ,18/08/2015,60042550_0,£2575.30,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Waste Disposal & Skip Hire,D3420, ,25/08/2015,60042930_0,£816.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Waste Disposal & Skip Hire,D3420, ,25/08/2015,60042932_0,£720.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108, ,25/08/2015,60042934_0,£2706.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,HRA,Asbestos Work,B1106   , ,02/09/2015,60043475_0,£923.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Tipping Charges,D3421   , ,02/09/2015,60043476_1,£640.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Tipping Charges,D3421   , ,02/09/2015,60043478_1,£728.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Tipping Charges,D3421   , ,02/09/2015,60043480_1,£560.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,Tipping Charges,D3421   , ,02/09/2015,60043481_0,£630.00,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Direct Services,General Contracted Services,D3401   , ,22/09/2015,60044032_0,£2582.47,Revenue,20000263,Sheehan Haulage & Plant Hire Ltd
Oxford City Council,Community Services,Reactive Maintenance & Minor Repairs,B1101,Deep Cleaning Of Kitchen,14/07/2015,1017900_1,£991.86,Revenue,20000270,The Shield Group
Oxford City Council,Direct Services,Materials,D3021   , ,28/07/2015,60041305_0,£13349.50,Revenue,20000284,Gorman Surfacing Limited
Oxford City Council,Direct Services,General Contracted Services,D3401, ,18/08/2015,60042567_1,£4892.62,Revenue,20000284,Gorman Surfacing Limited
Oxford City Council,Housing and Property,Reactive Maintenance & Minor Repairs,B1101,Donnington Comm Centre,11/08/2015,46286724_1,£512.00,Revenue,20000286,D E & H V Hussey
Oxford City Council,Housing and Property,Reactive Maintenance & Minor Repairs,B1101,South Park Depot,11/08/2015,46286725_1,£859.37,Revenue,20000286,D E & H V Hussey
Oxford City Council,Housing and Property,Reactive Maintenance & Minor Repairs,B1101,Osney Lane Depot,08/09/2015,46287058_1,£1995.00,Revenue,20000286,D E & H V Hussey
Oxford City Council,Housing and Property,Reactive Maintenance & Minor Repairs,B1101, ,18/08/2015,60042312_0,£1219.00,Revenue,20000286,D E & H V Hussey
Oxford City Council,Housing and Property,Reactive Maintenance & Minor Repairs,B1101, ,18/08/2015,60042313_1,£1413.00,Revenue,20000286,D E & H V Hussey
Oxford City Council,HRA,Controlled Entry Maintenance,B1243,Inst.107 Warden Call,07/07/2015,46286286_1,£1536.18,Revenue,20000293,Tunstall Telecom Limited
Oxford City Council,HRA,Controlled Entry Maintenance,B1243,Inst.107 Warden Call,07/07/2015,46286286_2,£95.42,Revenue,20000293,Tunstall Telecom Limited
Oxford City Council,HRA,Controlled Entry Maintenance,B1243,Inst 108 Warden Call,11/08/2015,46286758_1,£1722.98,Revenue,20000293,Tunstall Telecom Limited
Oxford City Council,HRA,Controlled Entry Maintenance,B1243,Inst 108 Warden Call,11/08/2015,46286758_2,£95.42,Revenue,20000293,Tunstall Telecom Limited
Oxford City Council,HRA,Main Contractor,Y021,Insulation Services,14/07/2015,1018323_1,£3101.86,Capital,20000314,Mark Group Ltd
Oxford City Council,Housing and Property,Services Maintenance (Planned),B1103,Town Hall Oxford,25/08/2015,46286939_1,£1095.00,Revenue,20000397,Windrush Door & Window Services Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,03/07/2015,60040435_1,£1755.00,Revenue,20000441,1st Choice Scaffolding (oxford) Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,03/07/2015,60040437_1,£561.60,Revenue,20000441,1st Choice Scaffolding (oxford) Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,03/07/2015,60040439_1,£772.50,Revenue,20000441,1st Choice Scaffolding (oxford) Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,21/07/2015,60041178_0,£850.00,Revenue,20000441,1st Choice Scaffolding (oxford) Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,28/07/2015,60041370_1,£819.00,Revenue,20000441,1st Choice Scaffolding (oxford) Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,28/07/2015,60041376_1,£624.00,Revenue,20000441,1st Choice Scaffolding (oxford) Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   , ,28/07/2015,60041397_0,£819.00,Revenue,20000441,1st Choice Scaffolding (oxford) Ltd
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111, ,04/08/2015,60041683_0,£561.60,Revenue,20000441,1st Choice Scaffolding (oxford) Ltd
Oxford City Council,HRA,Laundry Appliances,B1222,Inst 116 Laundry Sc,11/08/2015,46286755_1,£3741.38,Revenue,20002002,Ajb Engineering Services Ltd
Oxford City Council,HRA,Laundry Appliances,B1222,Inst 116 Laundry Sc,11/08/2015,46286755_2,£727.59,Revenue,20002002,Ajb Engineering Services Ltd
Oxford City Council,HRA,Laundry Appliances,B1222,Inst 115 Laundry Sc Annual Service 2015/16,11/08/2015,46286756_1,£1030.70,Revenue,20002002,Ajb Engineering Services Ltd
Oxford City Council,HRA,Laundry Appliances,B1222,Inst 115 Laundry Sc Annual Service 2015/16,11/08/2015,46286756_2,£169.17,Revenue,20002002,Ajb Engineering Services Ltd
Oxford City Council,HRA,Laundry Appliances,B1222,Inst 114 Laundry Sc Annula Service 2015/16,11/08/2015,46286757_1,£1139.70,Revenue,20002002,Ajb Engineering Services Ltd
Oxford City Council,HRA,Laundry Appliances,B1222,Inst 114 Laundry Sc Annula Service 2015/16,11/08/2015,46286757_2,£169.17,Revenue,20002002,Ajb Engineering Services Ltd
Oxford City Council,Direct Services,Materials,D3021,Pav1 20 280 060 Ciibs S3,28/07/2015,1018502_1,£1164.00,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,14/07/2015,60040807_0,£1680.01,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,14/07/2015,60040808_1,£1435.68,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,14/07/2015,60040818_1,£874.80,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,14/07/2015,60040858_1,£1063.71,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,14/07/2015,60040881_0,£842.80,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,21/07/2015,60041197_1,£1184.00,Revenue,20002005,Hanson Aggregates
Oxford City Council,Suspense,Materials,D3021   , ,21/07/2015,60041198_0,£629.37,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021, ,04/08/2015,60041690_1,£610.47,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021, ,04/08/2015,60041704_1,£937.14,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,11/08/2015,60041879_1,£602.00,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,11/08/2015,60041884_0,£661.56,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,11/08/2015,60041890_0,£860.00,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,11/08/2015,60041891_1,£529.04,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,11/08/2015,60041905_1,£828.24,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,11/08/2015,60042188_0,£523.92,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021, ,18/08/2015,60042331_1,£589.96,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021, ,18/08/2015,60042332_0,£823.20,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021, ,18/08/2015,60042407_1,£552.72,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021, ,18/08/2015,60042433_1,£5323.50,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021, ,18/08/2015,60042434_0,£14908.50,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021, ,18/08/2015,60042435_1,£860.00,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021, ,18/08/2015,60042436_0,£847.96,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021, ,18/08/2015,60042437_1,£19516.80,Revenue,20002005,Hanson Aggregates
Oxford City Council,Suspense,Materials,D3021, ,18/08/2015,60042527_1,£876.04,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021, ,25/08/2015,60042789_1,£516.00,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,22/09/2015,60043995_2,£511.00,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,22/09/2015,60043999_2,£840.00,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,22/09/2015,60044039_2,£774.00,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021, ,29/09/2015,60044237_0,£940.00,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   ,So00000725               | 963581586,07/07/2015,47980468_1,£646.54,Revenue,20002033,Tennant Uk Cleaning Solutions Ltd (formerly Applied Sweepers Ltd)
Oxford City Council,Direct Services,Materials,D3021,So00000900               | 963584609,04/08/2015,47980867_1,£16.30,Revenue,20002033,Tennant Uk Cleaning Solutions Ltd (formerly Applied Sweepers Ltd)
Oxford City Council,Direct Services,Materials,D3021,So00000900               | 963584609,04/08/2015,47980867_2,£695.83,Revenue,20002033,Tennant Uk Cleaning Solutions Ltd (formerly Applied Sweepers Ltd)
Oxford City Council,Direct Services,Materials,D3021,So00001212               | 963592928,02/09/2015,47981423_0,£793.00,Revenue,20002033,Tennant Uk Cleaning Solutions Ltd (formerly Applied Sweepers Ltd)
