Month,Year,Area,Topic,Transaction,Telephone or Face to Face,Online,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Recovery Action,298,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Missed Collection,228,136,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Containers,201,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Other Services,200,63,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(not done-Prov info),198,,,,,,,,,,,,,,,,,,,,,,
July,2016,Anti-Social Behaviour,Anti-Social Behaviour,Report of Anti-Social Behaviour,177,,,,,,,,,,,,,,,,,,,,,,
July,2016,City Works,Garden Waste,Garden Waste - Callback Request,164,,,,,,,,,,,,,,,,,,,,,,
July,2016,Planning and Building Control,Planning,Existing Applications,160,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Council Tax Moves,Move into a property,158,292,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,Repairs to Homes,Repairs - appointment confirmed,154,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Payment Query,147,,,,,,,,,,,,,,,,,,,,,,
July,2016,City Works,Garden Waste,New Subscriber,146,154,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Highways,143,23,,,,,,,,,,,,,,,,,,,,,
July,2016,City Works,Garden Waste,Unsubscribe,132,4,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Other Enquiry,131,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Chasing Progress,113,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,"Street Clean/ LeafSweep/ Verge, Shrub Cut",106,51,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,Repairs to Homes,Repairs Routine Work Order - Servitor Case Quick,105,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Payment Method Change,97,170,,,,,,,,,,,,,,,,,,,,,
July,2016,City Works,Garden Waste,Customer Updating Payment Method to DD,96,68,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Overpayments,93,,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(work not finished-Prov Info),93,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Business Rates,General Query,92,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Single Person Discount,89,74,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(AppointmentChanged),67,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Swap Container,65,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Cancel Worksheet,58,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Student discount / exemption application,55,142,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Business Rates,Payments / Copy Bill,52,0,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Benefits - New Claims,New Application for HB / CTB,49,247,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Damaged Container,47,,,,,,,,,,,,,,,,,,,,,,
July,2016,City Works,Garden Waste,Garden Waste Scheme - Query Resolved,43,,,,,,,,,,,,,,,,,,,,,,
July,2016,Planning and Building Control,Planning,New Applications,37,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Automated Missed Bin Service - Bail Out,37,,,,,,,,,,,,,,,,,,,,,,
July,2016,Planning and Building Control,Planning,Duty Officer,35,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Copy Bill,34,,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,Repairs to Homes,Keys_and_Locks(ProvInfo),34,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Abandoned Item,34,64,,,,,,,,,,,,,,,,,,,,,
July,2016,Law and Governance,Electoral Services,Elections Query,32,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Empty Property Query,29,15,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,Repairs to Homes,Electricity Advice,28,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Dog Warden,Lost / Found / Stray / Stolen Dog,26,21,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Update Name / Forwarding Address,25,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Business Rates,Reliefs,22,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Other Services,Callback Request,22,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Appointment Query,20,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Assisted Collections,20,,,,,,,,,,,,,,,,,,,,,,
July,2016,City Works,Garden Waste,Paper Based Compostable Sacks,19,23,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Council Tax Moves,Error Correction,17,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Other Exemptions Query,17,4,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,Repairs to Homes,New Build Defects Report,17,,,,,,,,,,,,,,,,,,,,,,
July,2016,Planning & Building Control,Planning,Callback request - consultation query,17,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Benefits - Change in Circumstances,Handing in Documents,15,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Dog Warden,Other Dog Query,15,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Sharps,15,13,,,,,,,,,,,,,,,,,,,,,
July,2016,Planning and Building Control,Planning,Enforcement,14,14,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Clinical Waste Collection,14,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Dead Animals,13,17,,,,,,,,,,,,,,,,,,,,,
July,2016,City Works,Garden Waste,Customer Reactivating Subscription,12,,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,Repairs to Homes,Gas Advice,12,,,,,,,,,,,,,,,,,,,,,,
July,2016,Planning & Building Control,Planning,Callback request - specific officer,12,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Business Rates,Move Out Of A Property,9,2,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Report of Death,9,1,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,Repairs to Homes,Rechargeable repair - emergency,9,,,,,,,,,,,,,,,,,,,,,,
July,2016,Planning and Building Control,Planning,Listed Buildings; Conservation Area; TPO's; A4D,9,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Drainage,9,10,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,Repairs to Homes,Water Advice,8,,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,Repairs to Homes,Repairs - Tenant Responsible,8,,,,,,,,,,,,,,,,,,,,,,
July,2016,Planning and Building Control,Planning,Building Control,8,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Connect Query,7,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Banding Query,7,,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,OCH Garden Scheme Enquiry,Garden Scheme Enquiry,7,,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,Repairs to Homes,Recharge form issued - NFA until returned,6,,,,,,,,,,,,,,,,,,,,,,
July,2016,Planning and Building Control,Planning,Trees,6,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Enforcement,6,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Disregard Discount Query,5,2,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Exemption / Discount Cancellation,4,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Business Rates,Move Into A Property,4,5,,,,,,,,,,,,,,,,,,,,,
July,2016,Planning and Building Control,Planning,Boundary Disputes / High Hedges,4,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Universal Credit,3,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Business Rates,Connect Issue,3,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Landlord Schedule,3,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Do I Qualify As A Student,3,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Error Correction (discounts / exemptions),3,,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,Repairs to Homes,Existing Rep Enq (cancellation),3,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Dog Warden,Report of Dog Fouling,3,0,,,,,,,,,,,,,,,,,,,,,
July,2016,Planning and Building Control,Planning,Do I Require Planning Permission?,3,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Bus Shelters,3,0,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Animal Fouling,3,9,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Benefits - New Claims,Handing in Documents,2,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Benefits - New Claims,Discretionary Housing Payments,2,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Benefits - Change in Circumstances,Benefit on Two Homes,2,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Severely Mentally Impaired,2,,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(follow on work-Prov Info),2,,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,Caretaking (1142),Communal repair - passed to Caretaker,2,,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(not to standard-Prov Info),2,,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,Gas,Gas Leak Reported,2,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Fixed Penalty Notices,Fixed Penalty Notices,2,0,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Benefits - New Claims,Claim for Second Adult Rebate,1,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Benefits, Council Tax, Business Rates",Benefits - New Claims,Backdate Request,1,,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,Repairs to Homes,Repairs Routine Work Order - Servitor Case Fast,1,,,,,,,,,,,,,,,,,,,,,,
July,2016,Oxford City Homes,Repairs to Homes,Repairs Exemption,1,2,,,,,,,,,,,,,,,,,,,,,
July,2016,Planning & Building Control,Planning,Callback request - pre-app advice,1,,,,,,,,,,,,,,,,,,,,,,
July,2016,Planning & Building Control,Planning,Callback request - app info required advice,1,,,,,,,,,,,,,,,,,,,,,,
July,2016,Planning & Building Control,Planning,Callback request - planning fee query,1,,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Public Toilets,1,0,,,,,,,,,,,,,,,,,,,,,
July,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Trade Waste,1,,,,,,,,,,,,,,,,,,,,,,
August,2016,Oxford City Homes,Repairs to Homes,Repairs Routine Work Order - Servitor Case,1189,57,,,,,,,,,,,,,,,,,,,,,
August,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Bulky Waste Collections,1127,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Request for Information,838,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Council Tenants,Leaseholders,Housing Needs,Garages",Tenancy Services,Rent Query,689,2,,,,,,,,,,,,,,,,,,,,,
August,2016,Oxford City Homes,Gas,Gas Service Booked - Standard Wrap Up,666,,,,,,,,,,,,,,,,,,,,,,
August,2016,Oxford City Homes,Repairs to Homes,Repairs Emergency Work Order - Servitor Case,657,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Payments and Balance Query,614,,,,,,,,,,,,,,,,,,,,,,
August,2016,3Cs Reports,3Cs reports,3Cs reports,501,199,,,,,,,,,,,,,,,,,,,,,
August,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Pest Control Treatment,Pest Control Treatment,458,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Assessment Query,446,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Refund Request,445,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Any Other Query,431,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Payment Made,413,2358,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Benefits - Change in Circumstances,Change in Circs,399,37,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax Moves,Move out of a property,388,545,,,,,,,,,,,,,,,,,,,,,
August,2016,"Council Tenants,Leaseholders,Housing Needs,Garages",Tenancy Services,Tenancy Query,379,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Recovery Action,245,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Containers,215,,,,,,,,,,,,,,,,,,,,,,
August,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(not done-Prov info),213,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Other Services,202,111,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax Moves,Move into a property,185,470,,,,,,,,,,,,,,,,,,,,,
August,2016,City Works,Garden Waste,Garden Waste Renewal,183,66,,,,,,,,,,,,,,,,,,,,,
August,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Missed Collection,176,131,,,,,,,,,,,,,,,,,,,,,
August,2016,Planning and Building Control,Planning,Existing Applications,163,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Other Enquiry,162,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Payment Query,153,,,,,,,,,,,,,,,,,,,,,,
August,2016,Oxford City Homes,Repairs to Homes,Repairs - appointment confirmed,148,,,,,,,,,,,,,,,,,,,,,,
August,2016,City Works,Garden Waste,Garden Waste - Callback Request,143,,,,,,,,,,,,,,,,,,,,,,
August,2016,City Works,Garden Waste,Unsubscribe,138,1,,,,,,,,,,,,,,,,,,,,,
August,2016,Anti-Social Behaviour,Anti-Social Behaviour,Report of Anti-Social Behaviour,137,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Highways,125,9,,,,,,,,,,,,,,,,,,,,,
August,2016,Law and Governance,Electoral Services,Elections Query,120,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Chasing Progress,119,,,,,,,,,,,,,,,,,,,,,,
August,2016,Oxford City Homes,Repairs to Homes,Repairs Routine Work Order - Servitor Case Quick,99,,,,,,,,,,,,,,,,,,,,,,
August,2016,City Works,Garden Waste,New Subscriber,98,115,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Single Person Discount,95,104,,,,,,,,,,,,,,,,,,,,,
August,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,"Street Clean/ LeafSweep/ Verge, Shrub Cut",94,49,,,,,,,,,,,,,,,,,,,,,
August,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(AppointmentChanged),92,,,,,,,,,,,,,,,,,,,,,,
August,2016,City Works,Garden Waste,Customer Updating Payment Method to DD,86,36,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Student discount / exemption application,84,432,,,,,,,,,,,,,,,,,,,,,
August,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(work not finished-Prov Info),69,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Payment Method Change,66,284,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Overpayments,65,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Automated Missed Bin Service - Bail Out,61,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Swap Container,53,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Business Rates,General Query,52,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Benefits - New Claims,New Application for HB / CTB,46,243,,,,,,,,,,,,,,,,,,,,,
August,2016,City Works,Garden Waste,Garden Waste Scheme - Query Resolved,44,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Cancel Worksheet,44,,,,,,,,,,,,,,,,,,,,,,
August,2016,Planning and Building Control,Planning,New Applications,43,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Damaged Container,40,,,,,,,,,,,,,,,,,,,,,,
August,2016,Planning and Building Control,Planning,Duty Officer,33,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Abandoned Item,33,75,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Copy Bill,31,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Dog Warden,Lost / Found / Stray / Stolen Dog,31,6,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Empty Property Query,30,19,,,,,,,,,,,,,,,,,,,,,
August,2016,Oxford City Homes,Repairs to Homes,Rechargeable repair - emergency,25,,,,,,,,,,,,,,,,,,,,,,
August,2016,Oxford City Homes,Repairs to Homes,Keys_and_Locks(ProvInfo),22,,,,,,,,,,,,,,,,,,,,,,
August,2016,Planning and Building Control,Planning,Enforcement,22,18,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Business Rates,Payments / Copy Bill,21,1,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax Moves,Error Correction,19,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Benefits - Change in Circumstances,Handing in Documents,19,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Appointment Query,19,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Sharps,18,10,,,,,,,,,,,,,,,,,,,,,
August,2016,Planning and Building Control,Planning,Listed Buildings; Conservation Area; TPO's; A4D,17,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Assisted Collections,17,,,,,,,,,,,,,,,,,,,,,,
August,2016,Oxford City Homes,OCH Garden Scheme Enquiry,Garden Scheme Enquiry,16,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Dog Warden,Other Dog Query,16,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Other Exemptions Query,15,5,,,,,,,,,,,,,,,,,,,,,
August,2016,City Works,Garden Waste,Paper Based Compostable Sacks,15,21,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Business Rates,Move Out Of A Property,14,3,,,,,,,,,,,,,,,,,,,,,
August,2016,Oxford City Homes,Repairs to Homes,Electricity Advice,14,,,,,,,,,,,,,,,,,,,,,,
August,2016,Oxford City Homes,Repairs to Homes,Gas Advice,13,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Business Rates,Reliefs,12,,,,,,,,,,,,,,,,,,,,,,
August,2016,Oxford City Homes,Repairs to Homes,Repairs - Tenant Responsible,12,,,,,,,,,,,,,,,,,,,,,,
August,2016,Oxford City Homes,Repairs to Homes,New Build Defects Report,12,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Drainage,12,8,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Do I Qualify As A Student,11,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Other Services,Callback Request,11,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Report of Death,10,1,,,,,,,,,,,,,,,,,,,,,
August,2016,Planning and Building Control,Planning,Boundary Disputes / High Hedges,10,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Update Name / Forwarding Address,9,,,,,,,,,,,,,,,,,,,,,,
August,2016,Oxford City Homes,Repairs to Homes,Water Advice,9,,,,,,,,,,,,,,,,,,,,,,
August,2016,Planning & Building Control,Planning,Callback request - consultation query,9,,,,,,,,,,,,,,,,,,,,,,
August,2016,Planning and Building Control,Planning,Building Control,9,,,,,,,,,,,,,,,,,,,,,,
August,2016,Oxford City Homes,Repairs to Homes,Repairs Exemption,8,1,,,,,,,,,,,,,,,,,,,,,
August,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(follow on work-Prov Info),8,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Enforcement,8,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Disregard Discount Query,7,3,,,,,,,,,,,,,,,,,,,,,
August,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Dog Warden,Report of Dog Fouling,7,0,,,,,,,,,,,,,,,,,,,,,
August,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Clinical Waste Collection,7,,,,,,,,,,,,,,,,,,,,,,
August,2016,Oxford City Homes,Repairs to Homes,Recharge form issued - NFA until returned,6,,,,,,,,,,,,,,,,,,,,,,
August,2016,Planning and Building Control,Planning,Do I Require Planning Permission?,6,,,,,,,,,,,,,,,,,,,,,,
August,2016,Planning and Building Control,Planning,Trees,6,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Animal Fouling,6,13,,,,,,,,,,,,,,,,,,,,,
August,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Dead Animals,6,12,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Exemption / Discount Cancellation,5,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Business Rates,Move Into A Property,5,3,,,,,,,,,,,,,,,,,,,,,
August,2016,Planning & Building Control,Planning,Callback request - specific officer,5,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Business Rates,Connect Issue,4,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Connect Query,3,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Benefits - New Claims,Handing in Documents,3,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Fraud Referral,3,4,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Severely Mentally Impaired,3,,,,,,,,,,,,,,,,,,,,,,
August,2016,Oxford City Homes,Caretaking (1142),Communal repair - passed to Caretaker,3,,,,,,,,,,,,,,,,,,,,,,
August,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Fixed Penalty Notices,Fixed Penalty Notices,3,0,,,,,,,,,,,,,,,,,,,,,
August,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Universal Credit,2,,,,,,,,,,,,,,,,,,,,,,
