Block Address,Job Number,Description of repairs,Date Job Raised, Price to Charge (£) ,No of Flats, Charge per flat (£) ,
1-60 EVENLODE TOWER,08509091,REPORTED BY EO  - LEVEL 11 ELECTRICITY CUPBOARD LOCK BROKEN,03/08/2016, 276.21 ,60, 4.60 ,
1-60 EVENLODE TOWER,08561837,FIRE DOOR NOT CLOSING ON LEVEL 6   REPORTED BY CARETAKER ,05/09/2016, 109.72 ,60, 1.83 ,
1-60 EVENLODE TOWER,08567657," CARE TAKER TOILET, CISTERN IS OVERFLOWING LEAKING AT THE TOP , PLS CALL THE CARE TAKER TO ACCESS OF THE TOILET.",07/09/2016, 39.81 ,60, 0.66 ,
1-60 EVENLODE TOWER,08570635,"ELECTRICAL INSPECTIONS  TO BLOCK AS PER J BRADLEY, CM BILLED UP TO POINT OF WORK 1/2/17.",08/09/2016, 179.54 ,60, 2.99 ,
1-60 EVENLODE TOWER,08580191,"CARE TAKERS WC, REPLACE GRUNDFOS MACERATOR (MATERIALS ON ORDER)",14/09/2016, 546.72 ,60, 9.11 ,
1-60 EVENLODE TOWER,08618038,NTCO C/O - EM - - LEAK ON MAINS STOP TAP - REF MN,28/09/2016, 90.82 ,60, 1.51 ,
1-60 EVENLODE TOWER,08621412,"ESTATE OFFCER REPORTS 5 STREET LAMPS NOT WORKING, REPEAT ISSUE. ACCESS NEEDED TO TWO OF THEM, PLEASE CALL ",03/10/2016, 194.45 ,60, 3.24 ,
1-60 EVENLODE TOWER,08621904,ATTEND TO LEAKING INTERNAL STOP TAP,03/10/2016, 105.46 ,60, 1.76 ,
1-60 EVENLODE TOWER,08690193,PLS CHANGE LOCK ON ELECTRIC CUPBOARD ON LEVEL 5.  IT IS AN EZZB KEY.  REPORTED BY EO ,01/11/2016, 72.17 ,60, 1.20 ,
1-60 EVENLODE TOWER,08756543,CARRY OUT FIRE RETARDANT WORKS TO ENTRANCE FRAMES TO ALL FLATS IN EVENLODE TOWER,30/11/2016," 9,000.00 ",60, 150.00 ,
1-60 EVENLODE TOWER,08779425,ASBESTOS SURVEY,09/12/2016, 138.18 ,60, 2.30 ,
1-60 EVENLODE TOWER,08787440,REPAIR LEAK TO TAP IN BIN STORE CUPBOARD. REPORT BY ESTATE OFFICER,14/12/2016, 160.68 ,60, 2.68 ,
1-60 EVENLODE TOWER,08842091,PLS REPLACE RCD PLUG SOCKET IN DOWNSTAIRS ELECTRICAL ROOM IN THE FOYER - HAS A SMALL TRIP BUTTON ON IT -,12/01/2017, 79.61 ,60, 1.33 ,
1-60 EVENLODE TOWER,08853583,NEW DOUBLE SOCKET AND RCD REQUIRED.,18/01/2017, 151.70 ,60, 2.53 ,
1-60 EVENLODE TOWER,08855079,HACONTRACT BS 389110-FOR THE INSPECTION AND MAINTENANCE OF WATER BOOSTING EQUIPMENT,18/01/2017, 343.10 ,60, 5.72 ,
1-60 EVENLODE TOWER,08873394,FIT STEEL SECURITY DOOR SET TO PUMP/PLANT ROOM - AS EPR SPEC -,26/01/2017," 4,217.53 ",60, 70.29 ,
1-60 EVENLODE TOWER,08877967,CARRY OUT REWIRE TO PUMP ROOM,27/01/2017," 10,215.91 ",60, 170.27 ,
1-60 EVENLODE TOWER,08877996,F/O 08842091 - TIMEGUARD RDC SOCKET REQUIRED,27/01/2017, 15.04 ,60, 0.25 ,
1-60 EVENLODE TOWER,08929556, PLEASE FIT A BACK FLOW PROTECTION TO THE SPRINKLER SYSTEM IN THE BIN STORE - REF C.S.,21/02/2017, 26.46 ,60, 0.44 ,
1-60 EVENLODE TOWER,08985473,POST CONTRACTORS ELECTRICAL INSPECTION,16/03/2017, 180.00 ,60, 3.00 ,
7-17 ODD BLAY CLOSE,08670337,SUPPLY AND FIT SITE SPECIFIC SIGNAGE TO CONFORM TO FIRE SAFETY REGULATIONS,20/10/2016, 156.89 ,6, 26.15 ,
7-17 ODD BLAY CLOSE,08762775,"INLET AND OUTLET NOT ON OPPOSITE SIDES, DO NOT COMPLY WITH REGULATIONS LOCATE AND REPLACE",02/12/2016, 15.44 ,6, 2.57 ,
19-29 ODD BLAY CLOSE,08492920,"THE DOOR TO THE DRYING AREA OF ODD 19-29 (DOOR IS DIRECTLY OPPOSITE FOR THE DRYING AREA AND THE LOCK IS BROKEN (WAS NOT FITTED PROPERLY) THE LOCK IS A KEY LOCK, THE FRAME WHERE THE LOCK WOULD GO INTO IS TOO HIGH SO DOOR WONT LOCK.",25/07/2016, 20.74 ,6, 3.46 ,
19-29 ODD BLAY CLOSE,08889667,NEED OPPOSING INLET AND OUTLET SUPPLIES TO THE CWST,01/02/2017, 4.85 ,6, 0.81 ,
1-11 ODD BONAR ROAD,08837374,CARRY OUT FIRE DOOR WORK TO COMPLY WITH CURRENT FIRE REGULATIONS AS PER SCHEDULE - ,11/01/2017, 373.30 ,6, 62.22 ,
61-71 ODD BORROWMEAD ROAD,08364872,DRAINPIPE COME OFF WALL AT REAR OF PROPERTY CAN WE PUT BACK ON.,13/05/2016, 519.73 ,6, 86.62 ,
61-71 ODD BORROWMEAD ROAD,08474621,PLEASE ATTEND TO LOOSE BRICK AT THE FRONT OF THE BLOCK,15/07/2016, 823.12 ,6, 137.19 ,
61-71 ODD BORROWMEAD ROAD,08522254,HR-EXTERNAL PAINTING AND REPAINT JOINERY CONTRACT CS389110. MARSTON ROAD. PLEASE VISIT ALL FLATS,11/08/2016," 1,500.00 ",6, 250.00 ,
61-71 ODD BORROWMEAD ROAD,08742951,"PLEASE ADJUCT THE SHED DOOR DOOR SWELLS IN THE RAIN, IMPOSSIBLE TO SHUT. THE DOOR IS UNLOCKED, TENANT NOT NEEDED FOR ACCESS",24/11/2016, 75.01 ,6, 12.50 ,
61-71 ODD BORROWMEAD ROAD,08837428,CARRY OUT FIRE DOOR WORK TO COMPLY WITH CURRENT FIRE REGULATIONS AS PER SCHEDULE - ,11/01/2017," 1,500.00 ",6, 250.00 ,
61-71 ODD BORROWMEAD ROAD,08933870,"PLEASE SEE OLD JOB REF 08742951 - INSPECT AND REPAIR DOORS TO SHEDS AT BLOCK. SEVEARLEY WEATHERED, ",22/02/2017, 208.08 ,6, 34.68 ,
73-83 ODD BORROWMEAD ROAD,08522311,HR- EXTERNAL PAINTING AND REPAINT JOINERY CONTRACT CS389110.MARSTON ROAD.  PLEASE VISIT ALL FLATS,11/08/2016," 1,355.66 ",6, 225.94 ,
73-83 ODD BORROWMEAD ROAD,08837431,CARRY OUT FIRE DOOR WORK TO COMPLY WITH CURRENT FIRE REGULATIONS AS PER SCHEDULE -,11/01/2017," 1,500.00 ",6, 250.00 ,
44-54 EVEN BOUNDARY BROOK ROAD,08352846,PLEASE ATTEND TO AERIAL FOR BLOCK.  ISNT GETTING TV SIGNAL.,09/05/2016, 78.03 ,6, 13.01 ,
44-54 EVEN BOUNDARY BROOK ROAD,08370356,PLEASE ATTEND TO SECURITY LIGHT   NEAR 52 ON ALL THE TIME ,17/05/2016, 31.12 ,6, 5.19 ,
44-54 EVEN BOUNDARY BROOK ROAD,08463676,PB00027 - ELECTRICAL REMEDIAL WORK TO BE CARRIED OUT IPN4/0006715.,08/07/2016, 243.50 ,6, 40.58 ,
44-54 EVEN BOUNDARY BROOK ROAD,08496535,"PLS ATTEND TO BLOCK LIGHTING, INTERNAL AND EXTERNAL COMMUNAL LIGHTING ON ALL THE TIME. , AFFECTING MORE THAN  ONE BLOCK",27/07/2016, 23.86 ,6, 3.98 ,
44-54 EVEN BOUNDARY BROOK ROAD,08771630,PB00027 - ELECTRICAL REMEDIAL WORK TO BE CARRIED OUT IPN4/0006715.,06/12/2016, 44.65 ,6, 7.44 ,
44-54 EVEN BOUNDARY BROOK ROAD,08837460,CARRY OUT FIRE DOOR WORK TO COMPLY WITH CURRENT FIRE REGULATIONS AS PER SCHEDULE - ,11/01/2017, 419.24 ,6, 69.87 ,
61-71 ODD BOUNDARY BROOK ROAD,08837486,CARRY OUT FIRE DOOR WORK TO COMPLY WITH CURRENT FIRE REGULATIONS AS PER SCHEDULE - ,11/01/2017, 323.83 ,6, 53.97 ,
31-37 ODD BOUNDARY BROOK ROAD,08837457,CARRY OUT FIRE DOOR WORK TO COMPLY WITH CURRENT FIRE REGULATIONS AS PER SCHEDULE - ,11/01/2017, 35.78 ,4, 8.95 ,
56-66 EVEN BOUNDARY BROOK ROAD,08813846,SEE 08187165. HOLE IN ROOF.CAN SEE HOLE FROM LOFT IN HER FLAT. BIRDS BUILT NEST WHICH CANCELLED PREVIOUS JOB. THEY HAVE NOW CLEARED.,29/12/2016, 79.44 ,6, 13.24 ,
56-66 EVEN BOUNDARY BROOK ROAD,08837473,CARRY OUT FIRE DOOR WORK TO COMPLY WITH CURRENT FIRE REGULATIONS AS PER SCHEDULE - ,11/01/2017, 279.24 ,6, 46.54 ,
68-78 EVEN BOUNDARY BROOK ROAD,08364687,ATTEND TO ROTARY DRYER BETWEEN 72-73 NEAR BINS BROKEN POTENTIALLY DANGEROUS DUE TO HEIGT AND ENDS POINTING OUT,13/05/2016, 66.19 ,6, 11.03 ,
68-78 EVEN BOUNDARY BROOK ROAD,08837499,CARRY OUT FIRE DOOR WORK TO COMPLY WITH CURRENT FIRE REGULATIONS AS PER SCHEDULE - ,11/01/2017, 173.35 ,6, 28.89 ,
80-90 EVEN BOUNDARY BROOK ROAD,08382829,ELECTRICAL INSPECTION TO COMMUNAL AREA 44-90  25/05/2016 AM,25/05/2016, 130.00 ,6, 21.67 ,
80-90 EVEN BOUNDARY BROOK ROAD,08431066,BATHROOM WINDOW WONT OPEN-  ATTEMPTED TO REPAIR BUT WONT WORK.,21/06/2016, 61.65 ,6, 10.28 ,
80-90 EVEN BOUNDARY BROOK ROAD,08833925,CARRY OUT FIRE DOOR WORK TO COMPLY WITH CURRENT FIRE REGULATIONS AS PER SCHEDULE - ,09/01/2017, 377.14 ,6, 62.86 ,
80-90 EVEN BOUNDARY BROOK ROAD,08966221,FAO TIMBERYTE - RERAISE OF 08546331 WHICH WAS CANCELLED. INVOICING PURPOSES ONLY. REPLACE FENCE BY SHED AND DRYING AREA TO BLOCK.,07/03/2017," 1,436.53 ",6, 239.42 ,
1-18 BROME PLACE,08305631,"FAO SIGN SHOP - PLEASE SUPPLY AND FIT SIGN ""1-18 BROME PLACE"" - REF IH/TB",14/04/2016, 90.88 ,18, 5.05 ,
1-18 BROME PLACE,08305660,PLEASE BOX IN EXTERNAL PIPEWORK - REF IH/TB,14/04/2016, 166.34 ,18, 9.24 ,
1-18 BROME PLACE,08327334,INTERNAL FIRE DOOR NEXT TO NO2 - ADJUST TO STOP BANGING - ,27/04/2016, 13.24 ,18, 0.74 ,
1-18 BROME PLACE,08359184,RAIN WATER LEAKING THROUGH ROOF INTO COMMUNAL AREA - RUNNING DOWN STAIRCASE - REF T.B.,11/05/2016, 50.18 ,18, 2.79 ,
1-18 BROME PLACE,08363536,1-8 BROME PLACE - SURFACE WATER AND STORM WATER DRAINS ARE BLOCKED AND BACKED UP FLOODING,12/05/2016, 92.50 ,18, 5.14 ,
1-18 BROME PLACE,08367914,CLEARED BLOCKAGE 13/05/16 DWT 835933,16/05/2016, 92.50 ,18, 5.14 ,
1-18 BROME PLACE,08376613,ATTEND TO RAIN WATER LEAKING THROUGH ROOF RUNNING DOWN STAIRCASE - REF BS,20/05/2016, 113.46 ,18, 6.30 ,
1-18 BROME PLACE,08384089,SEWAGE COMING UP THROUGH MANHOLE INSIDE BLOCK OF FLATS,25/05/2016, 281.25 ,18, 15.63 ,
1-18 BROME PLACE,08547622,OVERHAUL MED DOOR TO BLOCK. REPORTED DOOR BANGING WHEN CLOSED.,24/08/2016, 12.36 ,18, 0.69 ,
19-36 BROME PLACE,08366029,ELECTRICAL INSPECTION TO COMMUNAL AREA,16/05/2016, 130.00 ,18, 7.22 ,
19-36 BROME PLACE,08504418,PB00030 - REMEDIAL WORK TO BE CARRIED OUT - IPN4/0006716,01/08/2016, 511.11 ,18, 28.40 ,
19-36 BROME PLACE,08803179,PLEASE ATTEND TO BROKEN DOWNPIPE AT REAR OF BLOCK REPORTED BY LEASEHOLDER MANAGEr,22/12/2016, 133.48 ,18, 7.42 ,
19-36 BROME PLACE,08881814,TWO LOCKS NEED REPLACING ON THE DRYER DOORS DOWNSTAIRS AS THEY HAVE BEEN BROKEN - ESTATE OFFICER HAS REQUESTED THAT MORTICE LOCKS BE FITTED.,30/01/2017, 59.57 ,18, 3.31 ,
19-36 BROME PLACE,08908678,REPLACE/REPAIR LOCK TO DRYING ROOM DOOR OUTSIDE 32 BROME PLACE AS BROKEN INTO.  REPORTED BY  ESTATE OFFICER ,10/02/2017, 34.86 ,18, 1.94 ,
1-24 WHITWORTH PLACE,08329213,OVERHAUL FAULTY MED DOOR. S REPORTED ALARM IS CONSTANTLY BUZZING.,27/04/2016, 3.00 ,24, 0.13 ,
1-24 WHITWORTH PLACE,08686808,PLEASE ATTEND TO L/L SUPPLY LIGHTING AND STREET LIGHT TO OUTSIDE OF BLOCK - ,31/10/2016, 222.96 ,24, 9.29 ,
1-24 WHITWORTH PLACE,08759320,CARRY OUT FLOORING WORKS - AS PER BRUCE THOMPSON,01/12/2016," 6,000.00 ",24, 250.00 ,
1-24 WHITWORTH PLACE,08828790,PLEASE ATTEND TO COMMUNAL DOORS ARE NOT CLOSING UP PROPERLY-REPORTED ,06/01/2017, 23.39 ,24, 0.97 ,
1-24 WHITWORTH PLACE,08836377,REPORTED  THAT 2 OF THE 3 DOORS ARE REPAIRED; HOWEVER SOUTH MAIN ENTRANCE DOOR NEEDS URGENT REPAIR AS IS NOT SHUTTING PROPERLY - ,10/01/2017, 18.54 ,24, 0.77 ,
1-24 WHITWORTH PLACE,08883623,EZZA KEY REQUIRED - PLEASE ATTEND TO BINSTORE - PLEASE PUT HANDLE ON DOOR AS IT IS HARD TO OPEN (NEAREST THE BRIDGE OVER THE CANAL) - ,31/01/2017, 32.04 ,24, 1.34 ,
6A-8B EVEN CHAMPION WAY,08763222,"INSPECT, LOCATE AND REPAIR AS THERE IS NO CLEAR ISOLATION VALVE ON INLET OR OUTLET",02/12/2016, 109.16 ,4, 27.29 ,
6A-8B EVEN CHAMPION WAY,08956749,PLEASE REPLACE LID TO THE CWST AND ENSURE PIPES ARE RE-FITTED WITH GASKETS - REF C.S.,02/03/2017, 19.07 ,4, 4.77 ,
13-13B CHERWELL STREET,08833938,CARRY OUT FIRE DOOR WORK TO COMPLY WITH CURRENT FIRE REGULATIONS AS PER SCHEDULE - ,09/01/2017, 214.48 ,3, 71.49 ,
34-44 EVEN CHILLINGWORTH CRESCENT,08763079,LOCATE AND REPLACE TYPE 1 BALL WITH TYPE 2 VALVE TO WATER TANK,02/12/2016, 332.02 ,6, 55.34 ,
34-44 EVEN CHILLINGWORTH CRESCENT,08779339,REPORTED THAT THERE IS NO WATER SUPPLY  POSSIBLY MORE PLEASE ATTEND AND FIX AND REPAIR WATER SUPPLY,09/12/2016, 17.00 ,6, 2.83 ,
34-44 EVEN CHILLINGWORTH CRESCENT,08833941,CARRY OUT FIRE DOOR WORK TO COMPLY WITH CURRENT FIRE REGULATIONS AS PER SCHEDULE - ,09/01/2017, 224.56 ,6, 37.43 ,
58-68 EVEN CHILLINGWORTH CRESCENT,08359366,PB00018 - REMEDIAL WORK TO BE CARRIED OUT - REF PB,11/05/2016, 321.48 ,6, 53.58 ,
58-68 EVEN CHILLINGWORTH CRESCENT,08833970,CARRY OUT FIRE DOOR WORK TO COMPLY WITH CURRENT FIRE REGULATIONS AS PER SCHEDULE ,09/01/2017, 97.99 ,6, 16.33 ,
58-68 EVEN CHILLINGWORTH CRESCENT,09008661,"PLEASE INSPECT SIDE ACCESS GATE TO BLOCK, BEEN TAKEN OFF FOR SAFETY REASONS - PLEASE REPLACE/REPAIR AS REQUIRED - REF R.L.",29/03/2017, 20.74 ,6, 3.46 ,
130-140 EVEN CHILLINGWORTH CRESCENT,08762829,"INLET AND OUTLET NOT ON OPPOSITE SIDES, DO NOT COMPLY WITH REGULATIONS LOCATE AND REPLACE",02/12/2016, 4.85 ,6, 0.81 ,
130-140 EVEN CHILLINGWORTH CRESCENT,08834696,CARRY OUT FIRE DOOR WORK TO COMPLY WITH CURRENT FIRE REGULATIONS AS PER SCHEDULE - ,10/01/2017, 109.71 ,6, 18.29 ,
94-104 EVEN CHILLINGWORTH CRESCENT,08834612,CARRY OUT FIRE DOOR WORK TO COMPLY WITH CURRENT FIRE REGULATIONS AS PER SCHEDULE - ,10/01/2017, 102.01 ,6, 17.00 ,
1-28 COLEMANS HILL,08335007,NTCO C/O - KH - COMMUNAL LIGHTS NOT WORKING - REF SB,30/04/2016, 81.72 ,28, 2.92 ,
1-28 COLEMANS HILL,08369637,"FOLLOWING HEAVY RAIN, AREA ABOVE GARAGES OPPOSITE NUMBER 1 IS NOT DRAINING AWAY. ",17/05/2016, 29.34 ,28, 1.05 ,
1-28 COLEMANS HILL,08486206, THE LIGHTS ARE OUT ON THE BLOCK AND NOT WORKING FROM STAIRS 19-23 AND 24-27.,25/07/2016, 259.26 ,28, 9.26 ,
1-28 COLEMANS HILL,08551409,CARRY OUT REPLACEMENT OF UPVC WINDOWS TO COMMUNAL AREAS -,26/08/2016," 7,000.00 ",28, 250.00 ,
1-28 COLEMANS HILL,08558859,REGLAZE LOWER PANE DGU TO INTERNAL FIRE DOOR OUTSIDE FLAT 15 - TO BE CLEAR GLASS -,02/09/2016, 205.22 ,28, 7.33 ,
1-28 COLEMANS HILL,08575784,REPAIR GUTTERING ABOVE GARAGES 9-10 - REF D.C.,12/09/2016, 80.96 ,28, 2.89 ,
1-28 COLEMANS HILL,08605683,PLS ATTEND TO FIRE DOOR OUTSIDE NUMBER 28 WHICH LEADS INTO COURTYARD. THE DOOR IS SPLIT. REPORTED BY ESTATE OFFICER,23/09/2016, 47.66 ,28, 1.70 ,
1-28 COLEMANS HILL,08609199,CARRY OUT COMMUNAL FLOORING IMPROVEMENTS ,26/09/2016," 7,000.00 ",28, 250.00 ,
1-28 COLEMANS HILL,08723572,PLEASE ATTEND TO MAIN ENTRY DOOR FRAME AND BRACKETS ON TH DOOR CLOSEST TO THE RING ROAD. BRACKET IS NOT ATTACHED TO FRAME AND THE FRASME IS BENT AND THE DOOR WILL NOT CLOSE ON ITS OWN.,16/11/2016, 36.18 ,28, 1.29 ,
1-28 COLEMANS HILL,08723600,PLEASE ATTEND TO INSPECT AND REPAIR LOOSE WIRES AROUND THE MAIN ENTRY DOOR TO THIS BLOCK. DOOR CLOSEST TO THE RING ROAD. PHOTOS EMAILED TO DIRECT SERVICES RESPONSIVE REPAIRS.,16/11/2016, 62.22 ,28, 2.22 ,
1-28 COLEMANS HILL,08735272, PLEASE ATTEND TO - DOOR CLOSER REPAIR REQUIRED AT THE SOUTHERN EXIT OF FLATS 1-28 IS DETACHED AND NO LONGER OPERATING AS DESIGNED.,22/11/2016, 19.86 ,28, 0.71 ,
1-28 COLEMANS HILL,08752222,INSPECT AND REPAIR LEAK TO BLOCK WATER INTO FIRE ALARM,28/11/2016, 325.45 ,28, 11.62 ,
1-28 COLEMANS HILL,08768074,FAO 1ST CHOICE SCAFFOLDING - TO MEET ON SITE. HANDRAIL ONLY.,05/12/2016, 394.68 ,28, 14.10 ,
1-28 COLEMANS HILL,08836450, LEAK LOOKS TO BE COMING FROM PIPEWORK IN COMMUNAL CORRIDOR. PUDDLE OUTSIDE FLAT 8 COLEMANS HILL,10/01/2017, 17.96 ,28, 0.64 ,
31-43 COLEMANS HILL,08583077,RE-BED LOOSE OR MISSING SLABS TO STEP ,15/09/2016, 55.53 ,13, 4.27 ,
31-43 COLEMANS HILL,08609227,CARRY OUT COMMUNAL FLOORING IMPROVEMENTS - ,26/09/2016," 3,250.00 ",13, 250.00 ,
31-43 COLEMANS HILL,08714208,CLEAN OFF GRAFFITI FROM BLOCK 31-43 21/09/16 - SAMS 5697,13/11/2016, 116.61 ,13, 8.97 ,
1-28 COLEMANS HILL,08714208,CLEAN OFF GRAFFITI FROM BLOCK 1-28 21/09/16 - SAMS 5697,13/11/2016, 116.61 ,28, 4.16 ,
31-43 COLEMANS HILL,08789189,PM- REMOVE AND REBUILD BOUNDARY WALL TO RIGHT HAND SIDE TO SIDE COMMUNAL DOOR NEAR FLAT 41. WILL REQUIRE AN EXPANSION JOINT. REF- DL.,15/12/2016," 1,074.92 ",13, 82.69 ,
29-30 COLEMANS HILL,08513485,TOP OF THE LANDING THE LIGHT IS OUTSIDE FRONT DOOR OF 29-30. THE EO HAS CHANGED THE BULBS AND PUT OVERRIDE SWITCH ON AND IT IS NOT WORKING. ,05/08/2016, 174.21 ,2, 87.11 ,
29-30 COLEMANS HILL,08609243,CARRY OUT COMMUNAL FLOORING IMPROVEMENTS - AS PER B THOMPSON,26/09/2016, 500.00 ,2, 250.00 ,
29-30 COLEMANS HILL,08938664,"FOLLOW ON FOR JOB 08513485 REMOVE LIGHT ON LANDING, 3RD FOLLOW ON JOB",24/02/2017, 33.70 ,2, 16.85 ,
29-30 COLEMANS HILL,08959526,3HRS - LANDING LIGHTS NEED REWIRING AND NEW LIGHT REQUIRED. REF GM RECONNECT SUPPLY TO TOP LIGHT ON STAIRS IN CONDUIT 2 MEN AND LADDERS REQUIRED.,03/03/2017, 500.00 ,2, 250.00 ,
106-112 EVEN COPSE LANE,08522845,"HR- EXTERNAL PAINTING AND REPAINT JOINERY CONTRACT CS389110.MARSTON ROAD	- PLEASE VISIT ALL FLATS",11/08/2016, 784.90 ,4, 196.23 ,
114-120 EVEN COPSE LANE,08522858,HR- EXTERNAL PAINTING AND REPAINT JOINERY CONTRACT CS389110.MARSTON ROAD - PLEASE VISIT ALL FLATS,11/08/2016," 1,000.00 ",4, 250.00 ,
122-128 EVEN COPSE LANE,08522874,HR- EXTERNAL PAINTING AND REPAINT JOINERY CONTRACT CS389110.MARSTON ROAD - PLEASE VISIT ALL FLATS,11/08/2016," 1,000.00 ",4, 250.00 ,
130-136 EVEN COPSE LANE,08522902,HR- EXTERNAL PAINTING AND REPAINT JOINERY CONTRACT CS389110.MARSTON ROAD - PLEASE VISIT ALL FLATS,11/08/2016, 590.14 ,4, 147.54 ,
20-30 EVEN CRAUFURD ROAD,08834878,CARRY OUT FIRE DOOR WORK TO COMPLY WITH CURRENT FIRE REGULATIONS AS PER SCHEDULE -,10/01/2017, 88.12 ,6, 14.69 ,
20-30 EVEN CRAUFURD ROAD,08996556,AS REPORTED BY THE TNT AT NO 24,22/03/2017, 41.05 ,6, 6.84 ,
1-6 CRESS HILL PLACE,08834807,CARRY OUT FIRE DOOR WORK TO COMPLY WITH CURRENT FIRE REGULATIONS AS PER SCHEDULE - ,10/01/2017, 80.02 ,6, 13.34 ,
10-16 EVEN CROWBERRY ROAD,08374987,DA - INSTALL ELECTRONIC DOOR OPENER ON MAIN FLAT DOOR.,19/05/2016," 1,000.00 ",4, 250.00 ,
10-16 EVEN CROWBERRY ROAD,08879510,PLEASE ATTEND TO NO LIGHTING IN COMMUNAL AREA OF BLOCK 10-16 CROWBERRY ROAD,30/01/2017, 36.30 ,4, 9.08 ,
10-16 EVEN CROWBERRY ROAD,08888152,1 HR - REPLACE PL-9 TWIN FITTING OUTSIDE BATHROOM WINDOW,01/02/2017, 163.29 ,4, 40.82 ,
73-76 DAISY BANK,08511733,OUTSIDE DRAIN BY FRONT COMMUNAL DOOR BLOCKED AND OVERFLOWING.,04/08/2016, 22.95 ,4, 5.74 ,
73-76 DAISY BANK,08557948,FAO ALLFLOORS - PLS ATTEND TO FIT COVER STRIPS TO THE TOP OF THE TREADS ON THE COMMUNAL STAIRCASE,01/09/2016, 171.05 ,4, 42.76 ,
73-76 DAISY BANK,08783413,O PERSISTENT MOLD IN CORNER OF BEDROOM. THEY BELIEVE CAUSED BY ROOF LEAK.,12/12/2016, 245.05 ,4, 61.26 ,
73-76 DAISY BANK,08986326,FAO 1ST CHOICE SCAFFOLDING - TOWER HALF BLOCK WIDE AT REAR. WAIST HEIGHT TO GUTTER LEVEL TO STRIP BOTTOM TILES CORNER OF BUILDING TO DOWNPIPE.,17/03/2017, 394.68 ,4, 98.67 ,
42-47 DAISY BANK,08619866,PLEASE ATTEND TO LEAK COMING THROUGH TOILET CEILING ,03/10/2016, 97.65 ,6, 16.28 ,
42-47 DAISY BANK,08837316,CARRY OUT FIRE DOOR WORK TO COMPLY WITH CURRENT FIRE REGULATIONS AS PER SCHEDULE - ,11/01/2017, 256.59 ,6, 42.77 ,
42-47 DAISY BANK,08921279, REPORTED THAT THE LIGHT OVER RIDE SWITCH IS NOT WORKING IN THE BLOCK AND HE IS UNABLE TO TURN OFF THE LIGHTS IN THE COMMUNAL AREAS.,16/02/2017, 78.09 ,6, 13.02 ,
188-190 EVEN DIVINITY ROAD,08355719,"SECURITY LIGHT BY THE BACK MED LOOKS AS IF IT HAS BEEN FORCED OFF OR STOLEN, LEAVING WIRES EXPOSED. PLS CALL  EO ",10/05/2016, 133.42 ,2, 66.71 ,
1-11 DONNINGTON LODGE,08434658,STAIN WATER STAIN OUTSIDE NO8 AND DECORATE - ROOF LEAK REPAIRED - REF BS,24/06/2016, 110.31 ,11, 10.03 ,
1-11 DONNINGTON LODGE,08786430,STRIP OUT COMPOSITE ROOF TILS FOR CONTRACTER POSS ASBESTOS PAPERWORK RAISED ,14/12/2016," 1,419.82 ",11, 129.07 ,
1-11 DONNINGTON LODGE,08859910,REMEDIAL WORK REF CM SUPPLY AND INSTALL SENSOR,20/01/2017, 328.98 ,11, 29.91 ,
310-320 EVEN IFFLEY ROAD,08320281,APPT WED 06/07 -  REINSTATE TRELLIS SIDE OF GATE AT SIDE OF PROPERTY TO PREVENT INTRUDERS CLIMBING OVER - REF D.C.,22/04/2016, 503.12 ,6, 83.85 ,
310-320 EVEN IFFLEY ROAD,08446358,"PLS ATTEND TO BROKEN PANE IN COMMUNAL AREA OF BLOCK, 2ND FLOOR STAIRWELL. TNT DOES NOT KNOW IF DOUBLE GLAZED ",28/06/2016, 59.86 ,6, 9.98 ,
310-320 EVEN IFFLEY ROAD,08475868,FAO 1ST CHOICE SCAFFOLDING - 4FT WIDE SCAFFOLDING TOWER ON ENTRANCE FLAT CONCRETE ROOF TO ACCESS BROKEN GLASS TO COMMUNAL STAIRWAY. ,18/07/2016, 355.21 ,6, 59.20 ,
310-320 EVEN IFFLEY ROAD,08493279,PLS ATTEND TO BROKEN PANE OF GLASS IN GF COMMUNAL AREA. ,25/07/2016, 322.74 ,6, 53.79 ,
310-320 EVEN IFFLEY ROAD,08520768,REMOVE OBSTRUCTIONS FROM COMMUNAL STORE AT BACK OF BUILDING AND NEIGHBOURING BUILDING AND DIPOSE  (FIRE ESCAPE HAZARD),10/08/2016, 68.35 ,6, 11.39 ,
310-320 EVEN IFFLEY ROAD,08623205,PLEASE REPLACE EXTERNAL HANDRAIL TO BALCONY (NEAR FLAT 314) - REF D.L.,04/10/2016, 18.98 ,6, 3.16 ,
310-320 EVEN IFFLEY ROAD,08635017,PLEASE REPLACE EXTERNAL HANDRAIL TO BALCONY NEAR FLAT 314 -,10/10/2016, 16.76 ,6, 2.79 ,
310-320 EVEN IFFLEY ROAD,08917773,PROVIDE & FIT ALTRO RELIANCE 25 SHEET FLOORING TO COMMUNAL AREAS AS PER MANUFACTURERS RECOMMENDATIONS & QUOTE - (KENNINGTON FLOORING),15/02/2017," 1,500.00 ",6, 250.00 ,
310-320 EVEN IFFLEY ROAD,08991407,"FIT DEAD LOCK TO OLD DRYING AREA AND BLOCK UP TUMBLE DRYER VENT HOLE, EASY AND ADJUST DOORS.",21/03/2017, 22.07 ,6, 3.68 ,
